"id","name","slug","type","category","area","description","detailedDescription","customHtml","image1","image1Desc","image1FileId","image2","image2Desc","image2FileId","image3","image3Desc","image3FileId","website","phone","address","authorName","publishedDate","modifiedDate","directionsLink","amenities","featured","googleMapsUrl"
"60","Brimstone Trail","brimstone-trail","Hikes & Trails","outdoor","Wintergreen Resort","Steep 0.8-mile red-blazed climb skirting rocky cliffs with sweeping Three Ridges views, laurel thickets, and fern-covered 'rock gardens.' Brimstone Trail tackles 0.8 miles of rocky cliffs beneath Wintergreen's Plunge, mixing steep ups and downs, laurel thickets, and sweeping views toward Three Ridges—best tackled with care during icy months.","","","https://ik.imagekit.io/OE/nelson-county/listings/brimstone-trail-image1_opRNVPbgI","Rocky trail with hiker in distance, green leaves in foreground.","","https://ik.imagekit.io/OE/nelson-county/listings/brimstone-trail-image2_zX3Kal7WOD","Wooden sign with red and yellow text, directions to trails, gravel road background.","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Scenic Views; Biking; Hiking; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"61","Cedar Ciffs North Trail","cedar-ciffs-north-trail","Hikes & Trails","outdoor","Wintergreen Resort","Cedar Cliffs North Trail parallels the main Cedar Cliffs route on a cool, boulder-strewn north slope, offering 0.7 miles of mossy rock gardens and damp microclimates before connecting back to the overlook (closed in winter).","","","https://ik.imagekit.io/OE/nelson-county/listings/cedar-ciffs-north-trail-image1_43xSez7xo","Wooden trail sign with colored text and arrow, rocky background, and greenery.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Scenic Views; Seasonal Menu; Biking; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"62","Chestnut Springs Trail","chestnut-springs-trail","Hikes & Trails","outdoor","Wintergreen Resort","Chestnut Springs Trail runs 1.1 miles from rhododendron-lined Shamokin Gorge to sunny oak-hickory slopes, revealing spring wildflowers like bloodroot and wild ginger—long pants recommended to avoid stinging nettle.","","","https://ik.imagekit.io/OE/nelson-county/listings/chestnut-springs-trail-image1_QehjN4ktm","Wooden trail sign with engraved text surrounded by lush green foliage.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Hiking; Biking","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"63","Crabtree Falls","crabtree-falls","Hikes & Trails","outdoor","Montebello","Crabtree Falls cascades 1,200 vertical feet across five major drops, with an accessible first overlook near the parking area and a 3-mile trail to additional viewpoints for hikers seeking panoramic Blue Ridge vistas.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Directions
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <div>From I-81: Take exit 205 for Raphine/Steeles Tavern and continue east on State Route (SR) 606 to US 11. Turn left onto US 11 and continue north for a very short distance, then take a right onto SR 56. Follow SR 56 for 2 miles into the community of Vesuvius. As you enter Vesuvius, continue on the road as it bears to the left for another 6 miles. At the top of the mountain, continue under the Blue Ridge Parkway on SR 56 for 6 to 8 miles. The entrance to Crabtree Falls Day Use Area is on the right.From the Blue Ridge Parkway (Milepost 27): Take Route 56 East for 6.3 miles to Crabtree Falls Day Use Area on your right.From US Route 29: Take Route 56 West at Colleen, follow Route 56 West for approximately 20 miles to Crabtree Falls Day Use Area on your left. (Next left after Crabtree Falls Campground – about ½ mile).Alternative way to Access Upper Crabtree Falls Trailhead at Crabtree Meadows: To explore the “top of the falls” one can take Forest Road 826 off of Rt. 56 (West of the Crabtree Falls Day Use area). This road leads to Crabtree Meadows and the Upper Trail Head. Recommended for four-wheel vehicles only, this road is rough and challenging. There are three places where you may have to cross water on the road, and one can come across fallen trees, branches or large rocks, and vehicles with little clearance underneath may scrape bottom. You’ll see a few campsites on the way up on each side of the road, and once you’re at the upper parking area it will be easy to see the trail head leading to the falls. (Parking area has trashcans and a vault toilet.) It’s 1.1 miles from Crabtree Meadows to the top of the falls. The trail continues down the falls about 2.6 miles to the lower trail head and parking area.Crabtree Meadows is an open area with crab apples and apple trees, across the road from the parking lot. In the 1930’s, several families lived in this area, which once included a saw mill. Now it is a popular primitive camping spot, with access to the Appalachian Trail which is only 0.7 miles from the parking lot up the steep gravel fire road (FDR-263/VA-823).The fall colors at Crabtree Meadows, in particular, can be spectacular!</div>
<div>From I-81: Take exit 205 for Raphine/Steeles Tavern and continue east on State Route (SR) 606 to US 11. Turn left onto US 11 and continue north for a very short distance, then take a right onto SR 56. Follow SR 56 for 2 miles into the community of Vesuvius. As you enter Vesuvius, continue on the road as it bears to the left for another 6 miles. At the top of the mountain, continue under the Blue Ridge Parkway on SR 56 for 6 to 8 miles. The entrance to Crabtree Falls Day Use Area is on the right.From the Blue Ridge Parkway (Milepost 27): Take Route 56 East for 6.3 miles to Crabtree Falls Day Use Area on your right.From US Route 29: Take Route 56 West at Colleen, follow Route 56 West for approximately 20 miles to Crabtree Falls Day Use Area on your left. (Next left after Crabtree Falls Campground – about ½ mile).Alternative way to Access Upper Crabtree Falls Trailhead at Crabtree Meadows: To explore the “top of the falls” one can take Forest Road 826 off of Rt. 56 (West of the Crabtree Falls Day Use area). This road leads to Crabtree Meadows and the Upper Trail Head. Recommended for four-wheel vehicles only, this road is rough and challenging. There are three places where you may have to cross water on the road, and one can come across fallen trees, branches or large rocks, and vehicles with little clearance underneath may scrape bottom. You’ll see a few campsites on the way up on each side of the road, and once you’re at the upper parking area it will be easy to see the trail head leading to the falls. (Parking area has trashcans and a vault toilet.) It’s 1.1 miles from Crabtree Meadows to the top of the falls. The trail continues down the falls about 2.6 miles to the lower trail head and parking area.Crabtree Meadows is an open area with crab apples and apple trees, across the road from the parking lot. In the 1930’s, several families lived in this area, which once included a saw mill. Now it is a popular primitive camping spot, with access to the Appalachian Trail which is only 0.7 miles from the parking lot up the steep gravel fire road (FDR-263/VA-823).The fall colors at Crabtree Meadows, in particular, can be spectacular!</div>
<p><strong>From I-81:</strong> Take exit 205 for Raphine/Steeles Tavern and continue east on State Route (SR) 606 to US 11. Turn left onto US 11 and continue north for a very short distance, then take a right onto SR 56. Follow SR 56 for 2 miles into the community of Vesuvius. As you enter Vesuvius, continue on the road as it bears to the left for another 6 miles. At the top of the mountain, continue under the Blue Ridge Parkway on SR 56 for 6 to 8 miles. The entrance to Crabtree Falls Day Use Area is on the right.</p>
<p><strong>From the Blue Ridge Parkway (Milepost 27):</strong> Take Route 56 East for 6.3 miles to Crabtree Falls Day Use Area on your right.</p>
<p><strong>From US Route 29:</strong> Take Route 56 West at Colleen, follow Route 56 West for approximately 20 miles to Crabtree Falls Day Use Area on your left. (Next left after Crabtree Falls Campground – about ½ mile).</p>
<p><strong>Alternative way to Access Upper Crabtree Falls Trailhead at Crabtree Meadows:</strong><br/> To explore the “top of the falls” one can take Forest Road 826 off of Rt. 56 (West of the Crabtree Falls Day Use area). This road leads to Crabtree Meadows and the Upper Trail Head. Recommended for four-wheel vehicles only, this road is rough and challenging. There are three places where you may have to cross water on the road, and one can come across fallen trees, branches or large rocks, and vehicles with little clearance underneath may scrape bottom. You’ll see a few campsites on the way up on each side of the road, and once you’re at the upper parking area it will be easy to see the trail head leading to the falls. (Parking area has trashcans and a vault toilet.) It’s 1.1 miles from Crabtree Meadows to the top of the falls. The trail continues down the falls about 2.6 miles to the lower trail head and parking area.</p>
<p>Crabtree Meadows is an open area with crab apples and apple trees, across the road from the parking lot. In the 1930’s, several families lived in this area, which once included a saw mill. Now it is a popular primitive camping spot, with access to the Appalachian Trail which is only 0.7 miles from the parking lot up the steep gravel fire road (FDR-263/VA-823).</p>
<p>The fall colors at Crabtree Meadows, in particular, can be spectacular!</p>
            </div>
        </div>
    </div>
        

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-2"">
            History
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-2"" hidden>
            <div class=""accordion-body"">
                <div>The name “Crabtree” is thought to have come from William Crabtree, who settled in the area in 1777. Another noted pioneer, Allen Tye, who did extensive exploration in the Blue Ridge Mountains, is identified as having discovered the Tye River. To add to its popularity, Crabtree Falls was sometimes referred to as a Sunday outing location in the 1970’s television show, “The Waltons.”The land at the base of the falls was almost developed as a resort area in the late 1960s. LA Snead, former US Assistant Fuel Administrator (WWI), environmentalist and notable Nelsonian, blocked development efforts and spearheaded negotiations to secure the land surrounding the falls. Using personal and Congressional funds, the land deals were completed and the deeds transferred by LA Snead on June 3, 1968 to the National Forest System. This assured benefit for future generations of this magnificent Nelson County treasure. Under National Forest domain, the safety, accessibility and continued improvements have made Crabtree Falls a major tourist destination within Nelson County.There are wooden stairs, gravel paths, railed overlooks, and a spectacular 100-foot bridge over the Tye River. This beautiful bridge, a laminated arch, was shipped from New York in one piece and installed over the Tye River in 1978. Until the mid-1980’s, the footbridge was the starting point for the hike up Crabtree Falls. Today the parking area is on the other side of the river, and the bridge now serves primarily as a decorative addition to the hike.</div>
<div>The name “Crabtree” is thought to have come from William Crabtree, who settled in the area in 1777. Another noted pioneer, Allen Tye, who did extensive exploration in the Blue Ridge Mountains, is identified as having discovered the Tye River. To add to its popularity, Crabtree Falls was sometimes referred to as a Sunday outing location in the 1970’s television show, “The Waltons.”The land at the base of the falls was almost developed as a resort area in the late 1960s. LA Snead, former US Assistant Fuel Administrator (WWI), environmentalist and notable Nelsonian, blocked development efforts and spearheaded negotiations to secure the land surrounding the falls. Using personal and Congressional funds, the land deals were completed and the deeds transferred by LA Snead on June 3, 1968 to the National Forest System. This assured benefit for future generations of this magnificent Nelson County treasure. Under National Forest domain, the safety, accessibility and continued improvements have made Crabtree Falls a major tourist destination within Nelson County.There are wooden stairs, gravel paths, railed overlooks, and a spectacular 100-foot bridge over the Tye River. This beautiful bridge, a laminated arch, was shipped from New York in one piece and installed over the Tye River in 1978. Until the mid-1980’s, the footbridge was the starting point for the hike up Crabtree Falls. Today the parking area is on the other side of the river, and the bridge now serves primarily as a decorative addition to the hike.</div>
<p>The name “Crabtree” is thought to have come from William Crabtree, who settled in the area in 1777. Another noted pioneer, Allen Tye, who did extensive exploration in the Blue Ridge Mountains, is identified as having discovered the Tye River. To add to its popularity, Crabtree Falls was sometimes referred to as a Sunday outing location in the 1970’s television show, “The Waltons.”</p>
<p>The land at the base of the falls was almost developed as a resort area in the late 1960s. LA Snead, former US Assistant Fuel Administrator (WWI), environmentalist and notable Nelsonian, blocked development efforts and spearheaded negotiations to secure the land surrounding the falls. Using personal and Congressional funds, the land deals were completed and the deeds transferred by LA Snead on June 3, 1968 to the National Forest System. This assured benefit for future generations of this magnificent Nelson County treasure. Under National Forest domain, the safety, accessibility and continued improvements have made Crabtree Falls a major tourist destination within Nelson County.</p>
<p>There are wooden stairs, gravel paths, railed overlooks, and a spectacular 100-foot bridge over the Tye River. This beautiful bridge, a laminated arch, was shipped from New York in one piece and installed over the Tye River in 1978. Until the mid-1980’s, the footbridge was the starting point for the hike up Crabtree Falls. Today the parking area is on the other side of the river, and the bridge now serves primarily as a decorative addition to the hike.</p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/crabtree-falls-image1_IXQ2lOEKu","Waterfall cascading over rocks surrounded by lush green foliage.","","","","","","","","","","11581 Crabtree Falls Highway, Montebello, VA 24464","josh","","","https://www.google.com/maps/dir/?api=1&destination=11581%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464","Scenic Views; Parking; Biking; Hiking; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=11581%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464"
"64","Devils Knob Trail","devils-knob-trail","Hikes & Trails","outdoor","Wintergreen Resort","Devils Knob Trail begins at the Blue Ridge Overlook and winds 0.6 miles past catoctin greenstone outcrops blanketed in spring saxifrage, delivering birdwatching and sweeping views toward Pond Hollow and Fortunes Ridge.","","","https://ik.imagekit.io/OE/nelson-county/listings/devils-knob-trail-image1_9-WjX9SyQ","Rocky forest trail with scattered sunlight filtering through green foliage.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Scenic Views; Biking; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"65","Fortune's Cove Nature Preserve","fortunes-cove-nature-preserve","Hikes & Trails","outdoor","Lovingston","Fortune's Cove Nature Preserve challenges hikers with a 5.3-mile loop that gains 1,500 feet before rewarding them with rocky glade vistas, rare plant communities, and a shorter lower loop option for quicker outings.","","","https://ik.imagekit.io/OE/nelson-county/listings/fortune-s-cove-nature-preserve-image1__i7ZniCv5","Trail sign on curved tree, surrounded by dense green forest.","","","","","","","","","(434) 977-4837","1920 Fortune's Cove Lane, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=1920%20Fortune%E2%80%99s%20Cove%20Lane%2C%20Lovingston%2C%20VA%2022949","Hiking; Biking","false","https://www.google.com/maps/dir/?api=1&destination=1920%20Fortune%E2%80%99s%20Cove%20Lane%2C%20Lovingston%2C%20VA%2022949"
"66","Fortune's Ridge Trail","fortunes-ridge-trail","Hikes & Trails","outdoor","Wintergreen Resort","Fortune's Ridge Trail follows a cold mountain stream over cascades and a small waterfall, with laurel thickets blooming pink each June and multiple access points from Fortunes Ridge Drive or Brimstone Trail.","","","https://ik.imagekit.io/OE/nelson-county/listings/fortune-s-ridge-trail-image1_INFnASltm","Wooden trail sign reads 'Laurel Ridge Loop 3 Mile' in forest.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Scenic Views; Biking; Hiking; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"67","Hemlock Springs Loop","hemlock-springs-loop","Hikes & Trails","outdoor","Wintergreen Resort","Hemlock Springs Loop is a 0.8-mile route known for pink and yellow lady's slippers and an old-growth hemlock stand impacted by woolly adelgid—offering a sensitive habitat best navigated with care.","","","https://ik.imagekit.io/OE/nelson-county/listings/hemlock-springs-loop-image1_hX7dh-gSI","Person standing on large rock surrounded by green grass.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Hiking; Biking","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"68","Highlands Leisure Trail","highlands-leisure-trail","Hikes & Trails","outdoor","Wintergreen Resort","Highlands Leisure Trail connects Wintergreen's Blackrock Village to the Wintergarden via a 0.5-mile yellow-blazed path that dips through older-growth forest and includes an overlook of the Highlands ski slopes.","","","https://ik.imagekit.io/OE/nelson-county/listings/highlands-leisure-trail-image1_14-OGVdVb","Wooded trail with steps surrounded by lush green foliage and sunlight.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Scenic Views; Resort; Biking; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"69","Humpback Rocks","humpback-rocks","Hikes & Trails","outdoor","Lyndhurst","Humpback Rocks rewards a short but steep 2-mile loop climb with 360-degree Blue Ridge panoramas; start from the visitor center near Parkway milepost 5.8 and plan on about 45 minutes up, 20 down.","","","https://ik.imagekit.io/OE/nelson-county/listings/humpback-rocks-image1_f_nN7bZ7z","Sunrise over misty valley with rocky foreground and scattered clouds.","","","","","","","","","(540) 943-4716","Humpback Gap Parking Area, Milepost 5.8 Blue Ridge Parkway, Lyndhurst, VA 22952","josh","","","https://www.google.com/maps/dir/?api=1&destination=Humpback%20Gap%20Parking%20Area%2C%20Milepost%205.8%20Blue%20Ridge%20Parkway%2C%20Lyndhurst%2C%20VA%2022952","Scenic Views; Biking; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=Humpback%20Gap%20Parking%20Area%2C%20Milepost%205.8%20Blue%20Ridge%20Parkway%2C%20Lyndhurst%2C%20VA%2022952"
"70","James River State Park","james-river-state-park","Hikes & Trails","outdoor","Gladstone","James River State Park spans 1,500 acres with 15 miles of multi-use trails, three miles of river frontage, boat launches, cabins, campsites, and a seasonal canoe livery delivering sweeping views of the James and Norwood across the water.","","","https://ik.imagekit.io/OE/nelson-county/listings/james-river-state-park-image1_IdOJ0UXYE","Stone entrance sign reading 'James River Wildlife Management Area' among trees.","","","","","","","","","(434) 933-4355","104 Green Hill Drive, Gladstone, VA 24553","josh","","","https://www.google.com/maps/dir/?api=1&destination=104%20Green%20Hill%20Drive%2C%20Gladstone%2C%20VA%2024553","Boating; Cabins; Water Sports; Biking; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=104%20Green%20Hill%20Drive%2C%20Gladstone%2C%20VA%2024553"
"71","Kids in Parks: Virginia Blue Ridge Railway Trail","kids-in-parks-virginia-blue-ridge-railway-trail","Hikes & Trails","outdoor","Piney River","The Kids in Parks TRACK Trail on the Virginia Blue Ridge Railway Trail turns a family bike or hike into an educational scavenger hunt with self-guided brochures, prizes for logged adventures, and easy access from the Piney River depot.","","","https://ik.imagekit.io/OE/nelson-county/listings/kids-in-parks-virginia-blue-ridge-railway-trail-image1_uPNIvt_fZ","Wooden covered bridge over forest path; red bicycle leaning nearby.","","","","","","","","","(434) 263-7130","3124 Patrick Henry Highway, Piney River, VA 22964","josh","","","https://www.google.com/maps/dir/?api=1&destination=3124%20Patrick%20Henry%20Highway%2C%20Piney%20River%2C%20VA%2022964","Hiking; Adventure; Family Friendly; Parking; Biking; Water Sports; Hunting","false","https://www.google.com/maps/dir/?api=1&destination=3124%20Patrick%20Henry%20Highway%2C%20Piney%20River%2C%20VA%2022964"
"72","Laurel Ridge Loop","laurel-ridge-loop","Hikes & Trails","outdoor","Wintergreen Resort","Laurel Ridge Loop covers 1.6 miles of moderate terrain over laurel thickets, yellow birch, and rocky sections, eventually circling back to Wintergreen's Parking Lot F for an accessible forest sampler.","","","https://ik.imagekit.io/OE/nelson-county/listings/laurel-ridge-loop-image1_k_xUZ0XKg","Wooden trail sign with yellow and red text in forest setting.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Hiking; Parking; Biking","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"73","Lower Shamokin Falls Trail","lower-shamokin-falls-trail","Hikes & Trails","outdoor","Wintergreen Resort","Lower Shamokin Falls Trail meanders 1.7 miles through dense forest to the base of a cascading waterfall below Upper Shamokin Falls, beginning on a jeep road at the end of Old Stoney Creek Road.","","","https://ik.imagekit.io/OE/nelson-county/listings/lower-shamokin-falls-trail-image1_BIy5ezGql","Trail sign on tree reads 'Lower Shamokin Falls Trail' in lush forest.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Hiking; Biking; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"74","Mau-Har Trail","mau-har-trail","Hikes & Trails","outdoor","Tyro","The blue-blazed Mau-Har Trail links with the Appalachian Trail to form the famed Three Ridges loop, adding waterfalls, campsites, and rugged terrain that backpackers consider one of Virginia's best circuits.","","","https://ik.imagekit.io/OE/nelson-county/listings/mau-har-trail-image1_eNNMwbi1U","Small waterfall cascading over rocks surrounded by autumn foliage.","","","","","","","","","(434) 263-7015","Blue Ridge Parkway Milepost 13.7, Roseland, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=Blue%20Ridge%20Parkway%20Milepost%2013.7%2C%20Roseland%2C%20VA%2022967","Hiking; Biking; Appalachian Trail; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=Blue%20Ridge%20Parkway%20Milepost%2013.7%2C%20Roseland%2C%20VA%2022967"
"75","Montebello Nature Trail","montebello-nature-trail","Hikes & Trails","outdoor","Montebello","Montebello Nature Trail is a half-mile stroll along a former fish hatchery stream lined with ferns, wildflowers, and benches where you can spot dragonflies or listen for Louisiana waterthrush near Route 56.","","","https://ik.imagekit.io/OE/nelson-county/listings/montebello-nature-trail-image1_Uvj7h3IC1","People walking on a sunny forest trail surrounded by green trees.","","","","","","","","","(540) 377-2650","359 Fish Hatchery Lane, Montebello, VA 24464","josh","","","https://www.google.com/maps/dir/?api=1&destination=359%20Fish%20Hatchery%20Lane%2C%20Montebello%2C%20VA%2024464","Biking; Hiking; Water Sports; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=359%20Fish%20Hatchery%20Lane%2C%20Montebello%2C%20VA%2024464"
"76","Nelson County Wilderness Area","nelson-county-wilderness-area","Hikes & Trails","outdoor","Montebello","Nelson County Wilderness Area protects nearly 10,000 rugged acres split between The Priest and Three Ridges, where the Appalachian Trail climbs from 1,000-foot river valleys to 4,000-foot summits. Backpackers find permanently protected forests, sweeping overlooks, and the wildest terrain in the Blue Ridge.","","","https://ik.imagekit.io/OE/nelson-county/listings/nelson-county-wilderness-area-image1_kdVr3IMtp","Hiker with a green backpack walking through a forest.","","","","","","","","","(434) 263-7015","George Washington National Forest, Montebello, VA 24464","josh","","","https://www.google.com/maps/dir/?api=1&destination=George%20Washington%20National%20Forest%2C%20Montebello%2C%20VA%2024464","Hiking; Biking; Appalachian Trail; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=George%20Washington%20National%20Forest%2C%20Montebello%2C%20VA%2024464"
"77","North Fork of the Piney River","north-fork-of-the-piney-river","Hikes & Trails","outdoor","Piney River","Scenic drive and short riverside stroll showcasing Piney River cascades, stocked fishing holes, and swimming spots in Nelson County. The North Fork of the Piney River scenic drive hugs cascading water, stocked pools, and roadside pull-offs where you can cast, swim, or snap photos of the tumbling mountain stream. Follow Route 666 past Dickie Brothers Orchard and into George Washington National Forest for shady picnics beside the river.","","","https://ik.imagekit.io/OE/nelson-county/listings/north-fork-of-the-piney-river-image1_-MuJGSrnG","Water cascading over mossy rocks surrounded by green leaves.","","","","","","","","","(434) 263-7015","Piney River, VA 22964","josh","","","https://www.google.com/maps/dir/?api=1&destination=Piney%20River%2C%20VA%2022964","Water Sports; Biking; Hiking; Farm; Fishing; Swimming Pool","false","https://www.google.com/maps/dir/?api=1&destination=Piney%20River%2C%20VA%2022964"
"78","Old Appalachian Trail","old-appalachian-trail","Hikes & Trails","outdoor","Wintergreen Resort","Once part of the official Appalachian Trail, the 3.3-mile Old Appalachian Trail winds past greenstone ledges, wildflower-filled slopes, and connectors to today's AT near Laurel Springs Drive. Moderate-to-difficult grades reward hikers with Shenandoah Valley vistas and quiet, historic tread.","","","https://ik.imagekit.io/OE/nelson-county/listings/old-appalachian-trail-image1_mjlB71z_w","Narrow dirt path with yellow moss, surrounded by trees in a forest.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Hiking; Biking; Appalachian Trail","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"79","Paul's Creek Trail","pauls-creek-trail","Hikes & Trails","outdoor","Wintergreen Resort","Paul's Creek Trail is a 0.6-mile blue-blazed family favorite that follows a lush valley to smooth rock chutes and a series of cascading waterfalls near Crawford's Knob. Pack water shoes and a camera—the polished boulders and cool pools are irresistible on summer days.","","","https://ik.imagekit.io/OE/nelson-county/listings/paul-s-creek-trail-image1_MwER-wYqT","Forest stream flowing over rocks surrounded by trees and autumn leaves.","","","","","","","","","(434) 263-7015","8519 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","Family Friendly; Biking; Hiking; Water Sports; Swimming Pool","false","https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
