id,name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image2,image2Desc,image3,image3Desc,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl
13,Ike's Market & Deli,ikes-market-deli,Markets & Delis,community,Schuyler,Convenience Store and Deli. Deli open – featuring specials and menu items.,,,https://ik.imagekit.io/OE/nelson-county/listings/ike-s-market-deli-image1_7BFICV0DZ,"Baked potato with cheese, baked beans, carrots, and saucy pulled pork on plate.",,,,,,(434) 831-1185,"6597 Rockfish River Road in Schuyler, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969,,,,,,,,,,,,,,Deli; Fishing; Hunting; Market; Retail; Water Sports,FALSE,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969
14,Indian Oven,indian-oven,Restaurants,taste,Lovingston,"Embark on a culinary journey through India at Indian Oven, where authentic dishes are prepared with the freshest ingredients and meticulous attention to detail. From fiery curries to coconut-infused delights, our menu offers something for everyone. Immerse yourself in the warm and inviting atmosphere of our restaurant and savor the flavors of India.",,,https://ik.imagekit.io/OE/nelson-county/listings/indian-oven-image1_0QlheMSPI,Restaurant entrance with 'Indian Oven' sign on white brick exterior wall.,,,,,,(434) 263-4080,"10749 Thomas Nelson Hwy, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Family Friendly; Market; Deli,FALSE,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949
15,Mac's Country Store,macs-country-store,Markets & Delis,community,Roseland,"Serving Breakfast, Lunch & Dinner. Daily specials, eat in or take out. Our famous fried chicken is the best around. Antiques sold within the store too. At the the intersection of Routes 151 and 56 and Roseland Road. 7023 Patrick Henry Hwy.

Roseland, VA 22967 434-277-5305 Locally owned convenience and gas store. The Deli is open for breakfast and lunch. Specialties include fried chicken, subs, and deli salads.",,,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image1_Gk_Ua_dFF,"White building with vending machines, parked car, and trees in the background.",https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image2_YzwsuX-Df,"White building with vending machines, parked car, and wooden porch surrounded by trees.",https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image3_SvqK4KDnb,Tie-dye background with bold white text in cursive font.,,(434) 277-5305,"7023 Patrick Henry Highway, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Breakfast; Lunch; Dinner; Takeout; Market; Deli,FALSE,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967
16,Subway,subway,Markets & Delis,taste,Lovingston,"“The way a sandwich should be.” Hours: 10 am-10 pm; Friday night until 11 pm; Sunday until 9 p.m. Located in Annie Land Plaza, Highway 29 in Lovingston.",,,https://ik.imagekit.io/OE/nelson-county/listings/subway-image1_ASH5hYhT2,"Brick storefront with Subway and tobacco shop signs, under clear blue sky.",https://ik.imagekit.io/OE/nelson-county/listings/subway-image2_FsH2B7eDE,"Brick building with Subway and vape shop, clear sky above.",,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,(434) 263-6800,"65 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Deli; Market,FALSE,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
17,The Market at Wintergreen,the-market-at-wintergreen,Markets & Delis,community,Wintergreen Resort,"Convenience Store, Groceries, Deli and Gas. Wintergreen sweatshirts and tee shirts. Deli open: 7:30 am to 7:30 pm daily.",,,https://ik.imagekit.io/OE/nelson-county/listings/the-market-at-wintergreen-image1_mYJhz6AkM,"Customers at deli counter inside a market, browsing and buying packaged food items.",,,,,,(434) 325-8224,"189 Mountain Inn Loop, Wintergreen, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,,,,,,,,,,,,,,Deli; Resort; Fuel; Market,FALSE,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
18,Williams Grocery,williams-grocery,Markets & Delis,community,Schuyler,"Grocery Store and Gas. Featuring local honey, fishing supplies and bait.",,,https://ik.imagekit.io/OE/nelson-county/listings/williams-grocery-image1_7ZxBQDA49,Gas pumps and store building surrounded by trees and hills under blue sky.,,,,,,(434) 263-4746,439 Williamstown Road in Shipman or 6445 Rockfish Va,josh,,,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,,,,,,,Retail; Fuel; Local Ingredients; Market; Deli; Water Sports; Fishing; Hunting,FALSE,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971
19,Ann's Family Restaurant,anns-family-restaurant,Restaurants,taste,Arrington,Good old country cooking. Fresh vegetables and specials every day. Closed Saturday.,,,https://ik.imagekit.io/OE/nelson-county/listings/ann-s-family-restaurant-image1_wg1eO0bow,Red-roofed restaurant with parked cars and campaign signs on grass.,,,,,,(434) 263-8110,"1170 Thomas Nelson Highway, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922,,,,,,,,,,,,,,Family Friendly,FALSE,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922
20,Basic Necessities,basic-necessities,Restaurants,taste,Nellysford,"Basic Necessities is an off-beat café, wine and cheese shop nestled in the Rockfish Valley of the Blue Ridge Mountains near Nellysford, Virginia.

Since 1997 it has been offering what many call “a taste of Europe in the Blue Ridge Mountains.” It is known for in great wines at affordable prices, imported cheeses, a source of fresh local baked breads, and delicious meals in a colorful and creative atmosphere. The staff welcomes locals, skiers at Wintergreen Resort, traveling foodies, and those simply exploring beautiful Nelson County. At lunch they have long featured Sue Pfaltz’s delicious and innovative soups, big house salads, and seasonal specialties. Reservations are advised for Friday and Saturday night dinners where guests find creatively-prepared dishes and musical entertainment. The popular Sunday brunch is from 10-2 and frequently features a harpist during the middle of the day.",,,https://ik.imagekit.io/OE/nelson-county/listings/basic-necessities-image1_xjB3aTYi6,Cozy house with glowing string lights on fence at dusk.,,,,,,(434) 361-1776,"2226 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Wine; Retail; Dinner; Live Music; Brunch; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
21,Blue Mountain Brewery,blue-mountain-brewery,Breweries & Cideries,taste,Afton,"Our full-service restaurant features appetizers, salads, sandwiches, burgers, specialty pizzas and desserts made from scratch using the highest quality ingredients we can find. 8-10 Blue Mountain draft beers, local wine, cider & kombucha are available daily. Restaurant hours are 11am-10pm Monday-Saturday and 11am-9pm on Sunday.",,,https://ik.imagekit.io/OE/nelson-county/listings/blue-mountain-brewery-image1_tGxjiiEoX,"Pizza, beer, and grapes on a wooden table in outdoor sunlight.",,,,,https://www.bluemountainbrewery.com/,(540) 456-8020,"9519 Critzers Shop Road, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Beer; Cider; Events; Family Friendly; Full Kitchen; Meeting Planners; Outdoor Seating; Scenic Views; Tastings,FALSE,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920
22,Blue Ridge Pig,blue-ridge-pig,Restaurants,taste,Nellysford,"Whether it be the classic Pork Barbeque with slaw or the Turkey Croissant with the works (lettuce, tomato, cheddar cheese, mayo, and our special dill sauce), this quaint establishment will always keep you coming back for your Blue Ridge Pig fix. All of our meats are smoked on-site behind the restaurant by none other than Strawberry Goodwin himself.

Every one of our recipes is unique, not only to the local area, but also to the entire east coast. The only way to experience this one-of-a-kind hog heaven is to stop by and check it out for yourself!",,,https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-pig-image1_yZZLDI6Ia,Cartoon pig with chef hat on weathered sign against trees and sky.,,,,,,(434) 361-1170,"2198 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,BBQ; Takeout; Scenic Views,FALSE,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
23,Bold Kitchen at Bold Rock,bold-kitchen-at-bold-rock,Restaurants,taste,Nellysford,Bold Kitchen at Bold Rock is a local restaurant serving a variety of dishes in a welcoming atmosphere.,,,https://ik.imagekit.io/OE/nelson-county/listings/bold-kitchen-at-bold-rock-image1_XleEsXz-D,"Outdoor patio with tables, umbrellas, and mountain view under a clear blue sky.",,,,,,,"1020 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Bar; Cider; Tastings; Full Kitchen,FALSE,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
24,Chen's Restaurant,chens-restaurant,Restaurants,taste,Lovingston,Freshly prepared to order Chinese food to take out or eat in.,,,https://ik.imagekit.io/OE/nelson-county/listings/chen-s-restaurant-image1_yGrDjUjGy,"Glazed fried chicken pieces with broccoli florets, arranged closely together.",,,,,,(434) 263-8865,"73 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Lunch,FALSE,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
25,Chirio's Pizza,chirios-pizza,Restaurants,taste,Nellysford,"Oldest pizza establishment in Nelson County, since 1989.",,,https://ik.imagekit.io/OE/nelson-county/listings/chirio-s-pizza-image1_UVtpKdV9N,Pepperoni pizza with olives and broccoli on a golden crust.,,,,,,(434) 361-9188,"2777 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Family Friendly; Takeout; Delivery; Desserts; Pizza,FALSE,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
26,Coquito Kitchen,coquito-kitchen,Restaurants,taste,Nellysford,Opened March 2024 at the Rockfish Valley Community Center!,,,https://ik.imagekit.io/OE/nelson-county/listings/coquito-kitchen-image1_0G55fEaHh,"Cartoon bear and toucan with banjo, yellow circle background, 'Coquito' text.",,,,,,,"190 Rockfish School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Lunch; Full Kitchen; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920
27,Devils Backbone Brewing,devils-backbone-brewing,Restaurants,taste,Roseland,The smoke-free craft brewery and restaurant is open 7 days a week serving both lunch and dinner.,,,https://ik.imagekit.io/OE/nelson-county/listings/devils-backbone-brewing-image1_fuU0b-q4C,"Rustic building with stone pillars, wooden roof, and red umbrella-covered tables outside.",,,,,https://www.dbbrewingcompany.com/visit/basecamp/,(434) 361-1001,"200 Mosbys Run, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Beer; Outdoor Seating; Live Music; Full Kitchen; Coffee; Tea; Biking; Hiking,FALSE,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967
28,El Mariachi Mexican Food,el-mariachi-mexican-food,Restaurants,taste,Lovingston,Life without Mexican food is NO life at all!,,,https://ik.imagekit.io/OE/nelson-county/listings/el-mariachi-mexican-food-image1_lrhnaZQny,"Two musicians in sombreros playing guitar and violin, 'El Mariachi' text beside them.",,,,,,(434) 263-5999,"165 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Retail; Local Ingredients,FALSE,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
29,Fire & Frost Wood Fired Bakehouse,fire-frost-wood-fired-bakehouse,Restaurants,taste,Nellysford,Wood.,,,https://ik.imagekit.io/OE/nelson-county/listings/fire-frost-wood-fired-bakehouse-image1_pWDMelTVX,"Mosaic pizza oven with open fire, wood stacked below, tools hanging nearby.",,,,,,(434) 326-5639,"121 Blue Ridge Drive, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Scenic Views; Resort; Pizza,FALSE,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967
30,Iron and Ale,iron-and-ale,Restaurants,taste,Nellysford,"Iron & Ale is the place where you always feel like part of the family, your home away from home. Treat that special someone to an inspired chef crafted dinner paired with a glass of hand selected wine out on the veranda or under one of the elegant chandeliers. With a rotating menu and multiple beers on tap, Iron and Ale is a wonderful date night destination.",,,https://ik.imagekit.io/OE/nelson-county/listings/iron-and-ale-image1_Phj7hhJ9W,Illuminated sign reading 'Iron & Ale' on a building porch at night.,,,,,,(540) 440-2140,"1354 Stoney Creek West, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Seasonal Menu; Wine; Outdoor Seating; Beer,FALSE,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958
31,McDonald's,mcdonalds,Restaurants,taste,Lovingston,Open 7 days a week from 6 am – 11 pm (open until midnight on Friday and Saturday nights) Highway 29 in Lovingston.,,,https://ik.imagekit.io/OE/nelson-county/listings/mcdonald-s-image1_xLvXtaYOs,Illuminated McDonald's sign with golden arches against a dark night sky.,,,,,,(434) 263-8066,"44 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Breakfast; Lunch; Dinner,FALSE,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
32,Montebello Country Store & Cafe,montebello-country-store-cafe,Restaurants,taste,Montebello,"A family operation for 5 generations – an interesting place to explore – just think – “Country Store.” We offer a unique collection of toys for children, McCutcheon’s jams and jellies, custom t-shirts, sweatshirts, caps and gift items as well as a great selection of camping & fishing supplies with a full line of groceries, ice, and fuel.

Try your hand at trout fishing, then come in for a bowl of our chili . Located on Route 56, 3.5 miles east of the Parkway (MP 27).",,,https://ik.imagekit.io/OE/nelson-county/listings/montebello-country-store-cafe-image1_D_nYeoKbj,Wooden sign carved with 'Montebello Country Store' text on light wall.,,,,,,(540) 377-2650,"15072 Crabtree Falls Highway, Montebello, VA 24464",josh,,,https://www.google.com/maps/dir/?api=1&destination=15072%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464,,,,,,,,,,,,,,Retail; Family Friendly; Water Sports; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=15072%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464
33,Paulie's Pig Out,paulies-pig-out,Restaurants,taste,Afton,"Barbecue restaurant featuring pork and chicken, mac n’ cheese, beans, potato salad and cheesy garlic potatoes. Be sure to check out our amazing desserts!",,,https://ik.imagekit.io/OE/nelson-county/listings/paulie-s-pig-out-image1_8dXrFbPav,"Pulled pork sandwich with coleslaw on a rustic bun, set on paper.",,,,,,(434) 361-2001,"7376 Rockfish Valley Highway in Afton, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=7376%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,BBQ,FALSE,https://www.google.com/maps/dir/?api=1&destination=7376%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
34,Smokin' Barrel Restaurant,smokin-barrel-restaurant,Restaurants,taste,Arrington,"Located at Blue Mountain Barrel House. Appetizers, soups, salads, sandwiches, burgers, BBQ, desserts and a kids menu.",,,https://ik.imagekit.io/OE/nelson-county/listings/smokin-barrel-restaurant-image1_O6_IquE9r,"People relaxing on patio with chairs, umbrellas, sunset, and mountain view.",,,,,,(434) 226-2450,"495 Cooperative Way, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922,,,,,,,,,,,,,,Beer; Scenic Views; BBQ; Bar; Family Friendly; Full Kitchen; Tastings,FALSE,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922
