name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl,private,videoUrl,author,latitude,longitude,accordion1Title,accordion1Content,accordion2Title,accordion2Content,accordion3Title,accordion3Content,accordion4Title,accordion4Content,accordion5Title,accordion5Content
Graves Grocery & Deli,graves-grocery-deli,Markets & Delis,community,Nellysford,"Graves Grocery & Deli is a long-running Route 151 fixture where travelers top off the tank, grab breakfast sandwiches, and order made-to-order lunches before exploring the Rockfish Valley. Friendly counter service and quick deli classics make it a reliable daily stop.","<p>Convenience store and gas. Deli open: breakfast and lunch daily. 1779 Rockfish Valley Hwy. Nellysford, VA 22958 <br><br><strong>Phone:</strong> <a href='tel:4343612504'>434-361-2504</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a,"Storefront with red sign, vending machines, and newspaper stands outside.",,,,,,,,https://www.facebook.com/ashleysmaket151/,434-361-2504,1779 Rockfish Valley Hwy,,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Breakfast, Deli, Lunch",FALSE,https://www.google.com/maps/search/?api=1&query=1779+Rockfish+Valley+Hwy,False,,,37.88681010000001,-78.8921345,,,,,,,,,,
Hickman’s Exxon Grocery,hickmans-exxon-grocery,Markets & Delis,community,Roseland,"Hickman's Exxon Grocery near Beech Grove supplies fuel, hunting gear, and a hot breakfast-and-lunch deli favored by Wintergreen visitors. The store also serves as a certified game-checking station, making it a handy hub during deer, bear, and turkey seasons.","<p>Convenience Store and Gas. Deli open for Breakfast and Lunch daily. Game Checking Station (all game) 1311 Beech Grove Road Roseland, VA 22967 <br><br><strong>Phone:</strong> <a href='tel:4343611205'>434-361-1205</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ,"Small shop with red roof, 'Open' sign, and outdoor seating under sunny sky.",,,,,,,,https://www.facebook.com/ashleysmaket151/,434-361-1205,"1311 Beech Grove Road Roseland, VA 22967",,2024-05-17,2024-05-17,,,,,,,,,,,,,,,"Breakfast, Deli, Lunch",FALSE,https://www.google.com/maps/search/?api=1&query=1311+Beech+Grove+Road+Roseland%2C+VA+22967,False,,,37.8748885,-78.9363376,,,,,,,,,,
IGA Blue Ridge Grocery,iga-blue-ridge-grocery,Markets & Delis,community,Nellysford,"Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.","<p>Blue Ridge Grocery provides groceries to your local community. Enjoy your shopping experience when you visit our supermarket. 2797 Rockfish Valley Highway Nellysford, VA 22958 <br><br><strong>Phone:</strong> <a href='tel:4343611105'>434-361-1105</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7,"Grocery store facade with shopping carts, icy machine, and open sign.",,,,,,,,https://nellysford.iga.com/,434-361-1105,"2797 Rockfish Valley Highway Nellysford, VA 22958",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,Market,FALSE,https://www.google.com/maps/search/?api=1&query=2797+Rockfish+Valley+Highway+Nellysford%2C+VA+22958,False,,,37.8900081,-78.8744895,,,,,,,,,,
Ike’s Market & Deli,ikes-market-deli,Markets & Delis,community,Schuyler,"Ike's Market & Deli on Rockfish River Road stocks convenience essentials, fishing supplies, and a deli counter with rotating daily specials. Riverside convenience store and deli featuring hot menu specials, grab-and-go items, and a game checking station.","<p>Convenience Store and Deli. Deli open – featuring specials and menu items. Game Checking Station 6597 Rockfish River Road Schuyler, VA 22969 <br><br><strong>Phone:</strong> <a href='tel:4348311185'>434-831-1185</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/ike-s-market-deli-image1_7BFICV0DZ,"Baked potato with cheese, baked beans, carrots, and saucy pulled pork on plate.",,,,,,,,https://nellysford.iga.com/,434-831-1185,"6597 Rockfish River Road Schuyler, VA 22969",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Deli, Market, Fishing",FALSE,https://www.google.com/maps/search/?api=1&query=6597+Rockfish+River+Road+Schuyler%2C+VA+22969,False,,,37.7918165,-78.7039514,,,,,,,,,,
Indian Oven,indian-oven,Restaurants,taste,Lovingston,"Embark on a culinary journey through India at Indian Oven, where authentic dishes are prepared with the freshest ingredients and meticulous attention to detail. From fiery curries to coconut-infused delights, our menu offers something for everyone.<br><br>Immerse yourself in the warm and inviting atmosphere of our restaurant and savor the flavors of India.","<p>Embark on a culinary journey through India at Indian Oven, where authentic dishes are prepared with the freshest ingredients and meticulous attention to detail. From fiery curries to coconut-infused delights, our menu offers something for everyone. Immerse yourself in the warm and inviting atmosphere of our restaurant and savor the flavors of India. 10749 Thomas Nelson Hwy Lovingston, VA 22949 <br><br><strong>Phone:</strong> <a href='tel:4342634080'>434-263-4080</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/indian-oven-image1_0QlheMSPI,Restaurant entrance with 'Indian Oven' sign on white brick exterior wall.,,,,,,,,https://nellysford.iga.com/,434-263-4080,"10749 Thomas Nelson Hwy Lovingston, VA 22949",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Lunch, Dinner",FALSE,https://www.google.com/maps/search/?api=1&query=10749+Thomas+Nelson+Hwy+Lovingston%2C+VA+22949,False,,,37.7811588,-78.86835769999999,,,,,,,,,,
Mac’s Country Store,macs-country-store,Markets & Delis,community,Roseland,"Serving breakfast, lunch, and dinner, Mac's Country Store offers daily specials for both eat-in and take-out. Our famous fried chicken is renowned as the best around, and we also feature a selection of subs and deli salads.<br><br>In addition to our delicious meals, we sell antiques within the store. Stop by and enjoy a taste of local flavor in a welcoming atmosphere!","<p>Serving Breakfast, Lunch &amp; Dinner. Daily specials, eat in or take out. Our famous fried chicken is the best around. Antiques sold within the store too. At the the intersection of Routes 151 and 56 and Roseland Road. 7023 Patrick Henry Hwy. Roseland, VA 22967 <br><br><strong>Phone:</strong> <a href='tel:4342775305'>434-277-5305</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image1_Gk_Ua_dFF,"White building with vending machines, parked car, and trees in the background.",,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image2_YzwsuX-Df,"White building with vending machines, parked car, and wooden porch surrounded by trees.",,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image3_SvqK4KDnb,Tie-dye background with bold white text in cursive font.,,https://nellysford.iga.com/,434-277-5305,151 and 56 and Roseland Road. 7023 Patrick Henry Hwy,,2024-05-17,2024-05-17,,,,,,,,,,,,,,,"Breakfast, Dinner, Lunch",FALSE,https://www.google.com/maps/search/?api=1&query=151+and+56+and+Roseland+Road.+7023+Patrick+Henry+Hwy,False,,,37.7549156,-78.98493959999999,,,,,,,,,,
Subway,subway,Markets & Delis,taste,Lovingston,"Subway franchise in Annie Land Plaza making customizable sandwiches, salads, and wraps seven days a week. (open later on Fridays, earlier-closing Sundays).","<p>“The way a sandwich should be.” Hours: 10 am-10 pm; Friday night until 11 pm; Sunday until 9 p.m. Located in Annie Land Plaza, Highway 29 in Lovingston. 65 Callohill Drive Lovingston, VA 22949 <br><br><strong>Phone:</strong> <a href='tel:4342636800'>434-263-6800</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/subway-image1_ASH5hYhT2,"Brick storefront with Subway and tobacco shop signs, under clear blue sky.",,https://ik.imagekit.io/OE/nelson-county/listings/subway-image2_FsH2B7eDE,"Brick building with Subway and vape shop, clear sky above.",,,,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,434-263-6800,"65 Callohill Drive, Lovingston, VA 22949",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Deli, Takeout",FALSE,https://www.google.com/maps/search/?api=1&query=29+in+Lovingston.+65+Callohill+Drive+Lovingston%2C+VA+22949,False,,,37.7529264,-78.8780826,,,,,,,,,,
The Market at Wintergreen,the-market-at-wintergreen,Markets & Delis,community,Wintergreen,"The Market at Wintergreen offers a convenient shopping experience with a variety of groceries, deli items, and gas services. You can also find Wintergreen sweatshirts and tee shirts to take home as a souvenir.<br><br>Our deli is open daily from 7:30 am to 7:30 pm, providing fresh options for your meals and snacks.","<p>Convenience Store, Groceries, Deli and Gas. Wintergreen sweatshirts and tee shirts. Deli open: 7:30 am to 7:30 pm daily. 189 Mountain Inn Loop Wintergreen, VA 22958 <br><br><strong>Phone:</strong> <a href='tel:4343258224'>434-325-8224</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/the-market-at-wintergreen-image1_mYJhz6AkM,"Customers at deli counter inside a market, browsing and buying packaged food items.",,,,,,,,https://www.wintergreenresort.com/the-market-at-wintergreen/,434-325-8224,"189 Mountain Inn Loop, Wintergreen, VA 22958",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Deli, Market",FALSE,https://www.google.com/maps/search/?api=1&query=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,False,,,37.913307,-78.9426867,,,,,,,,,,
Williams Grocery,williams-grocery,Markets & Delis,community,Schuyler,"Williams Grocery is your go-to destination for all your grocery needs and fuel. We proudly feature local honey, fishing supplies, and bait, making it easy for you to stock up on essentials while enjoying the local flavors.<br><br>Whether you're preparing for a fishing trip or simply looking for quality groceries, Williams Grocery has you covered!","<p>Grocery Store and Gas. Featuring local honey, fishing supplies and bait. Game Checking Station (deer, bear &amp; turkey) 439 Williamstown Road Shipman, VA 22971 <br><br><strong>Phone:</strong> <a href='tel:4342634746'>434-263-4746</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/williams-grocery-image1_7ZxBQDA49,Gas pumps and store building surrounded by trees and hills under blue sky.,,,,,,,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,434-263-4746,"439 Williamstown Road Shipman, VA 22971",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,Fishing,FALSE,https://www.google.com/maps/search/?api=1&query=439+Williamstown+Road+Shipman%2C+VA+22971,False,,,37.673896,-78.8329517,,,,,,,,,,
Ann’s Family Restaurant,anns-family-restaurant,Restaurants,taste,Arrington,The homestyle spot closes Saturdays but keeps loyal regulars coming back for dependable Southern comfort food.,"<p>Good old country cooking. Fresh vegetables and specials every day. Closed Saturday. 1170 Thomas Nelson Hwy Arrington, VA 22922 <br><br><strong>Phone:</strong> <a href='tel:4342638110'>434-263-8110</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/ann-s-family-restaurant-image1_wg1eO0bow,Red-roofed restaurant with parked cars and campaign signs on grass.,,,,,,,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,434-263-8110,"1170 Thomas Nelson Hwy Arrington, VA 22922",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Breakfast, Lunch",FALSE,https://www.google.com/maps/search/?api=1&query=1170+Thomas+Nelson+Hwy+Arrington%2C+VA+22922,False,,,37.671449,-78.9526538,,,,,,,,,,
Basic Necessities,basic-necessities,Restaurants,taste,Nellysford,"Basic Necessities is a European-inspired café, wine, and cheese shop in the Rockfish Valley serving soups, salads, seasonal dinners with live music, and a popular Sunday brunch. Sunday brunch often features a harpist, and the shelves brim with imported cheeses, breads, and affordable bottles.","<p>Basic Necessities is an off-beat café, wine and cheese shop nestled in the Rockfish Valley of the Blue Ridge Mountains near Nellysford, Virginia. Since 1997 it has been offering what many call “a taste of Europe in the Blue Ridge Mountains.” It is known for in great wines at affordable prices, imported cheeses, a source of fresh local baked breads, and delicious meals in a colorful and creative atmosphere. The staff welcomes locals, skiers at Wintergreen Resort, traveling foodies, and those simply exploring beautiful Nelson County. At lunch they have long featured Sue Pfaltz’s delicious and innovative soups, big house salads, and seasonal specialties. Reservations are advised for Friday and Saturday night dinners where guests find creatively-prepared dishes and musical entertainment. The popular Sunday brunch is from 10-2 and frequently features a harpist during the middle of the day. 2226 Rockfish Valley Highway Nellysford, VA 22958 <br><br><strong>Phone:</strong> <a href='tel:4343611776'>434-361-1776</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/basic-necessities-image1_xjB3aTYi6,Cozy house with glowing string lights on fence at dusk.,,,,,,,,https://basicnecessities.us/,434-361-1776,"2226 Rockfish Valley Highway Nellysford, VA 22958",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Brunch, Lunch, Resort, Wine, Live Music",FALSE,https://www.google.com/maps/search/?api=1&query=2226+Rockfish+Valley+Highway+Nellysford%2C+VA+22958,False,,,37.8864817,-78.8838579,,,,,,,,,,
Blue Mountain Brewery,blue-mountain-brewery,Breweries & Cideries,taste,Afton,Route 151 brewpub pouring flagship and seasonal ales alongside a from-scratch kitchen with sweeping Blue Ridge views..,"<p>Our full-service restaurant features appetizers, salads, sandwiches, burgers, specialty pizzas and desserts made from scratch using the highest quality ingredients we can find. 8-10 Blue Mountain draft beers, local wine, cider &amp; kombucha are available daily. Restaurant hours are 11am-10pm Monday-Saturday and 11am-9pm on Sunday. 9519 Critzers Shop Road Afton, VA 22920 <br><br><strong>Phone:</strong> <a href='tel:5404568020'>540-456-8020</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/blue-mountain-brewery-image1_tGxjiiEoX,"Pizza, beer, and grapes on a wooden table in outdoor sunlight.",,,,,,,,https://bluemountainbrewery.com/,540-456-8020,"9519 Critzers Shop Road Afton, VA 22920",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Cider, Desserts, Wine, Beer",FALSE,https://www.google.com/maps/search/?api=1&query=9519+Critzers+Shop+Road+Afton%2C+VA+22920,False,,,38.01603,-78.82184579999999,,,,,,,,,,
Blue Ridge Pig,blue-ridge-pig,Restaurants,taste,Nellysford,"Blue Ridge Pig is a roadside smokehouse known for Strawberry Goodwin's on-site smoked meats, from classic pulled pork with slaw to Turkey Croissants with signature dill sauce. Blue Ridge Pig smokes pork, turkey, and other meats behind its tiny roadside shack, drawing fans for pulled pork sandwiches, turkey croissants, and house dill sauce.","<p>Whether it be the classic Pork Barbeque with slaw or the Turkey Croissant with the works (lettuce, tomato, cheddar cheese, mayo, and our special dill sauce), this quaint establishment will always keep you coming back for your Blue Ridge Pig fix. All of our meats are smoked on-site behind the restaurant by none other than Strawberry Goodwin himself. Every one of our recipes is unique, not only to the local area, but also to the entire east coast. The only way to experience this one-of-a-kind hog heaven is to stop by and check it out for yourself! 2198 Rockfish Valley Highway Nellysford, VA 22958 <br><br><strong>Phone:</strong> <a href='tel:4343611170'>434-361-1170</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-pig-image1_yZZLDI6Ia,Cartoon pig with chef hat on weathered sign against trees and sky.,,,,,,,,https://www.facebook.com/blueridgepig,434-361-1170,"2198 Rockfish Valley Highway Nellysford, VA 22958",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"BBQ, Takeout",FALSE,https://www.google.com/maps/search/?api=1&query=2198+Rockfish+Valley+Highway+Nellysford%2C+VA+22958,False,,,37.8865701,-78.88415169999999,,,,,,,,,,
