id,name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image2,image2Desc,image3,image3Desc,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl
13,Ike's Market & Deli,ikes-market-deli,Markets & Delis,community,Schuyler,"Ike's Market & Deli is a charming convenience store known for its delicious breakfast and lunch offerings. The deli features daily specials, including fried chicken, subs, and fresh deli salads. Stop by for essentials, grab-and-go items, or utilize their game checking station while enjoying the friendly, local atmosphere.",,,https://ik.imagekit.io/OE/nelson-county/listings/ike-s-market-deli-image1_7BFICV0DZ,"Baked potato with cheese, baked beans, carrots, and saucy pulled pork on plate.",,,,,,(434) 831-1185,"6597 Rockfish River Road in Schuyler, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969,,,,,,,,,,,,,,Deli; Fishing; Hunting; Market; Retail; Water Sports,FALSE,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969
14,Indian Oven,indian-oven,Restaurants,taste,Lovingston,"Indian Oven is a family-run restaurant in Lovingston, VA, serving authentic Indian cuisine made from the freshest ingredients. With a menu that features fiery curries, tandoori specialties, and coconut-infused delights, there's something to satisfy every palate. The warm, inviting atmosphere enhances your dining experience, making it a perfect spot to explore the vibrant flavors of India.",,,https://ik.imagekit.io/OE/nelson-county/listings/indian-oven-image1_0QlheMSPI,Restaurant entrance with 'Indian Oven' sign on white brick exterior wall.,,,,,,(434) 263-4080,"10749 Thomas Nelson Hwy, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Family Friendly; Market; Deli,FALSE,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949
15,Mac's Country Store,macs-country-store,Markets & Delis,community,Roseland,"Visit Mac's Country Store at the crossroads of Routes 151 and 56 for a delightful dining experience offering breakfast, lunch, and dinner. Known for our famous fried chicken, you can enjoy daily specials either in-store or to-go. Don't miss the charming selection of antiques that add a unique touch to your visit.",,,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image1_Gk_Ua_dFF,"White building with vending machines, parked car, and trees in the background.",https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image2_YzwsuX-Df,"White building with vending machines, parked car, and wooden porch surrounded by trees.",https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image3_SvqK4KDnb,Tie-dye background with bold white text in cursive font.,,(434) 277-5305,"7023 Patrick Henry Highway, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Breakfast; Lunch; Dinner; Takeout; Market; Deli,FALSE,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967
16,Subway,subway,Markets & Delis,taste,Lovingston,"Subway in Annie Land Plaza offers a delicious array of customizable sandwiches, salads, and wraps, crafted just the way you like them. Conveniently located on Highway 29 in Lovingston, it's the perfect spot for a quick meal any day of the week, with extended hours on Fridays. Experience ""the way a sandwich should be,"" and enjoy fresh ingredients served with a smile!",,,https://ik.imagekit.io/OE/nelson-county/listings/subway-image1_ASH5hYhT2,"Brick storefront with Subway and tobacco shop signs, under clear blue sky.",https://ik.imagekit.io/OE/nelson-county/listings/subway-image2_FsH2B7eDE,"Brick building with Subway and vape shop, clear sky above.",,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,(434) 263-6800,"65 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Deli; Market,FALSE,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
17,The Market at Wintergreen,the-market-at-wintergreen,Markets & Delis,community,Wintergreen Resort,"The Market at Wintergreen is your go-to spot for convenience and delicious deli fare in the heart of the Blue Ridge Mountains. Open daily from 7:30 am to 7:30 pm, this locally owned store offers groceries, gas, and a mouthwatering deli featuring specialties like fried chicken and subs. Don't forget to grab a Wintergreen sweatshirt or tee while you're there!",,,https://ik.imagekit.io/OE/nelson-county/listings/the-market-at-wintergreen-image1_mYJhz6AkM,"Customers at deli counter inside a market, browsing and buying packaged food items.",,,,,,(434) 325-8224,"189 Mountain Inn Loop, Wintergreen, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,,,,,,,,,,,,,,Deli; Resort; Fuel; Market,FALSE,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
18,Williams Grocery,williams-grocery,Markets & Delis,community,Schuyler,"Williams Grocery is a locally owned market and gas station in Virginia, perfect for your everyday needs. From local honey and fishing supplies to a game checking station for deer, bear, and turkey, you’ll discover plenty of unique offerings here. Stop in for a hearty breakfast or lunch, featuring favorites like fried chicken, subs, and deli salads.",,,https://ik.imagekit.io/OE/nelson-county/listings/williams-grocery-image1_7ZxBQDA49,Gas pumps and store building surrounded by trees and hills under blue sky.,,,,,,(434) 263-4746,439 Williamstown Road in Shipman or 6445 Rockfish Va,josh,,,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,,,,,,,Retail; Fuel; Local Ingredients; Market; Deli; Water Sports; Fishing; Hunting,FALSE,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971
19,Ann's Family Restaurant,anns-family-restaurant,Restaurants,taste,Arrington,"Savor the taste of good old country cooking at Ann's Family Restaurant in Arrington, VA. Open every day except Saturday, we proudly serve fresh vegetables and daily specials, with favorites like fried chicken and hearty deli salads. Join us for a comforting meal that feels like home!",,,https://ik.imagekit.io/OE/nelson-county/listings/ann-s-family-restaurant-image1_wg1eO0bow,Red-roofed restaurant with parked cars and campaign signs on grass.,,,,,,(434) 263-8110,"1170 Thomas Nelson Highway, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922,,,,,,,,,,,,,,Family Friendly,FALSE,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922
20,Basic Necessities,basic-necessities,Restaurants,taste,Nellysford,"Basic Necessities is an off-beat café and wine shop located in the scenic Rockfish Valley near Nellysford, Virginia. Known for its delightful European-inspired menu, it offers innovative soups, hearty salads, and seasonal dishes in a colorful atmosphere. Guests can enjoy live music on weekends and a popular Sunday brunch featuring a harpist, alongside an extensive selection of affordable wines and imported cheeses. Reservations are recommended for Friday and Saturday dinners.",,,https://ik.imagekit.io/OE/nelson-county/listings/basic-necessities-image1_xjB3aTYi6,Cozy house with glowing string lights on fence at dusk.,,,,,,(434) 361-1776,"2226 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Wine; Retail; Dinner; Live Music; Brunch; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
21,Blue Mountain Brewery,blue-mountain-brewery,Breweries & Cideries,taste,Afton,"Blue Mountain Brewery is a hidden gem in the picturesque Blue Ridge Mountains, catering to craft beer aficionados and food lovers. With a rotating selection of 8-10 house-brewed beers and a menu featuring made-from-scratch appetizers, sandwiches, and specialty pizzas, it’s an ideal destination for savoring local flavors. Open daily, the brewery invites you to unwind in its breathtaking surroundings.",,,https://ik.imagekit.io/OE/nelson-county/listings/blue-mountain-brewery-image1_tGxjiiEoX,"Pizza, beer, and grapes on a wooden table in outdoor sunlight.",,,,,https://www.bluemountainbrewery.com/,(540) 456-8020,"9519 Critzers Shop Road, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Beer; Cider; Events; Family Friendly; Full Kitchen; Meeting Planners; Outdoor Seating; Scenic Views; Tastings,FALSE,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920
22,Blue Ridge Pig,blue-ridge-pig,Restaurants,taste,Nellysford,"Blue Ridge Pig in Nellysford, VA, is a charming roadside smokehouse where you'll savor unique, on-site smoked meats crafted by Strawberry Goodwin. Indulge in their classic pulled pork BBQ with slaw or a delicious turkey croissant topped with their special dill sauce. Stop by for a true taste of hog heaven!",,,https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-pig-image1_yZZLDI6Ia,Cartoon pig with chef hat on weathered sign against trees and sky.,,,,,,(434) 361-1170,"2198 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,BBQ; Takeout; Scenic Views,FALSE,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
23,Bold Kitchen at Bold Rock,bold-kitchen-at-bold-rock,Restaurants,taste,Nellysford,Bold Kitchen at Bold Rock is a local restaurant serving a variety of dishes in a welcoming atmosphere.,,,https://ik.imagekit.io/OE/nelson-county/listings/bold-kitchen-at-bold-rock-image1_XleEsXz-D,"Outdoor patio with tables, umbrellas, and mountain view under a clear blue sky.",,,,,,,"1020 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Bar; Cider; Tastings; Full Kitchen,FALSE,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
24,Chen's Restaurant,chens-restaurant,Restaurants,taste,Lovingston,"Chen's Restaurant offers freshly prepared Chinese cuisine for both dine-in and takeout in Lovingston. Located in the Annie Land Plaza off Route 29, this charming eatery features delicious lunchtime specials made with quality ingredients. Enjoy a selection of traditional favorites with a local twist that will satisfy your cravings.",,,https://ik.imagekit.io/OE/nelson-county/listings/chen-s-restaurant-image1_yGrDjUjGy,"Glazed fried chicken pieces with broccoli florets, arranged closely together.",,,,,,(434) 263-8865,"73 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Lunch,FALSE,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
25,Chirio's Pizza,chirios-pizza,Restaurants,taste,Nellysford,"Chirio's Pizza, the oldest pizzeria in Nelson County since 1989, serves up authentic homemade New York-style pizza alongside delicious subs, salads, and ice cream. Located in the Valley Green Shopping Center in Nellysford, this local favorite offers dine-in, take-out, and delivery options. Experience the quick service and bargain prices that have earned it the title of ""Simply the Best""!",,,https://ik.imagekit.io/OE/nelson-county/listings/chirio-s-pizza-image1_UVtpKdV9N,Pepperoni pizza with olives and broccoli on a golden crust.,,,,,,(434) 361-9188,"2777 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Family Friendly; Takeout; Delivery; Desserts; Pizza,FALSE,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
26,Coquito Kitchen,coquito-kitchen,Restaurants,taste,Nellysford,"Coquito Kitchen, nestled in the Rockfish Valley Community Center, brings a delightful fusion of Argentine and Southern comfort food to Afton, VA. Open Thursday to Saturday, savor a rotating selection of empanadas, sandwiches, and seasonal sides that celebrate the best of both culinary traditions. Experience a warm, inviting atmosphere where comforting flavors come together in a unique twist!",,,https://ik.imagekit.io/OE/nelson-county/listings/coquito-kitchen-image1_0G55fEaHh,"Cartoon bear and toucan with banjo, yellow circle background, 'Coquito' text.",,,,,,,"190 Rockfish School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Lunch; Full Kitchen; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920
27,Devils Backbone Brewing,devils-backbone-brewing,Restaurants,taste,Roseland,"Devils Backbone Brewing in Roseland, VA, offers a vibrant dining experience with a smoke-free environment and a focus on wood-fired dishes. Enjoy lunch and dinner paired with fresh craft beer from 16 taps, plus a delightful brunch served on weekends. With outdoor seating and takeout options available, it's the perfect spot for food and beer enthusiasts to relax and unwind.",,,https://ik.imagekit.io/OE/nelson-county/listings/devils-backbone-brewing-image1_fuU0b-q4C,"Rustic building with stone pillars, wooden roof, and red umbrella-covered tables outside.",,,,,https://www.dbbrewingcompany.com/visit/basecamp/,(434) 361-1001,"200 Mosbys Run, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Beer; Outdoor Seating; Live Music; Full Kitchen; Coffee; Tea; Biking; Hiking,FALSE,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967
28,El Mariachi Mexican Food,el-mariachi-mexican-food,Restaurants,taste,Lovingston,"El Mariachi Mexican Food in Lovingston brings the vibrant flavors of Mexico to your plate. Open seven days a week, indulge in mouthwatering fajitas, hearty burritos, and refreshing margaritas. Located at 165 Front Street, it's the perfect spot to enjoy authentic cuisine and pick up gift certificates. Don't miss this culinary gem in the charming Lovingston Historic District!",,,https://ik.imagekit.io/OE/nelson-county/listings/el-mariachi-mexican-food-image1_lrhnaZQny,"Two musicians in sombreros playing guitar and violin, 'El Mariachi' text beside them.",,,,,,(434) 263-5999,"165 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Retail; Local Ingredients,FALSE,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
29,Fire & Frost Wood Fired Bakehouse,fire-frost-wood-fired-bakehouse,Restaurants,taste,Nellysford,"Fire & Frost Wood Fired Bakehouse is a charming spot on 121 Blue Ridge Dr in Roseland, VA, where you can indulge in authentic Neapolitan-style pizzas and mouthwatering antipasti. This inviting eatery creates a cozy atmosphere, ideal for relaxing after a day on the slopes or savoring the breathtaking mountain views. With a focus on rustic flavors and quality ingredients, it's a delightful destination for any food enthusiast.",,,https://ik.imagekit.io/OE/nelson-county/listings/fire-frost-wood-fired-bakehouse-image1_pWDMelTVX,"Mosaic pizza oven with open fire, wood stacked below, tools hanging nearby.",,,,,,(434) 326-5639,"121 Blue Ridge Drive, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Scenic Views; Resort; Pizza,FALSE,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967
30,Iron and Ale,iron-and-ale,Restaurants,taste,Nellysford,"Iron & Ale is a charming bistro in Stoney Creek, where every meal feels like a family gathering. Enjoy a rotating menu crafted by an inspired chef, paired with curated wines and a selection of craft beers. Dine under elegant chandeliers or on the inviting veranda—perfect for date nights and special occasions. Visit us at 1354 Stoney Creek West, Nellysford, VA.",,,https://ik.imagekit.io/OE/nelson-county/listings/iron-and-ale-image1_Phj7hhJ9W,Illuminated sign reading 'Iron & Ale' on a building porch at night.,,,,,,(540) 440-2140,"1354 Stoney Creek West, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Seasonal Menu; Wine; Outdoor Seating; Beer,FALSE,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958
31,McDonald's,mcdonalds,Restaurants,taste,Lovingston,"Visit McDonald's in Lovingston, open daily from 6 am to 11 pm (midnight on weekends), for a quick and satisfying meal. Enjoy classic favorites like burgers and fries, alongside McCafé drinks to fuel your day or night. Conveniently located on Highway 29, it's the perfect stop for travelers and locals alike!",,,https://ik.imagekit.io/OE/nelson-county/listings/mcdonald-s-image1_xLvXtaYOs,Illuminated McDonald's sign with golden arches against a dark night sky.,,,,,,(434) 263-8066,"44 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Breakfast; Lunch; Dinner,FALSE,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
