id,name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl
13,Ike's Market & Deli,ikes-market-deli,Markets & Delis,community,Schuyler,"Nestled along the scenic Rockfish River Road, Ike's Market & Deli is your one-stop destination for convenience and flavor. This charming riverside store offers a well-stocked selection of essentials and fishing supplies, perfect for both locals and visitors. Don’t miss the deli counter, where you’ll find delicious rotating daily specials and a variety of grab-and-go items that are perfect for a picnic or a quick meal. With a game checking station on-site, it’s an ideal stop for outdoor enthusiasts looking to enjoy the beautiful surroundings. Whether you’re stocking up for a day of adventure or just in need of a tasty bite, Ike's Market & Deli promises a warm welcome and a delightful experience.",,,https://ik.imagekit.io/OE/nelson-county/listings/ike-s-market-deli-image1_7BFICV0DZ,"Baked potato with cheese, baked beans, carrots, and saucy pulled pork on plate.",,,,,,,,,(434) 831-1185,"6597 Rockfish River Road, Schuyler, VA 22969",josh,,,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969,,,,,,,,,,,,,,Deli; Fishing; Hunting; Market; Retail; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969
14,Indian Oven,indian-oven,Restaurants,taste,Lovingston,"Nestled in a cozy corner of the neighborhood, Indian Oven is a family-run gem that invites you to indulge in the rich flavors of authentic Indian cuisine. With a menu brimming with aromatic curries, tender tandoori favorites, and delightful coconut-infused dishes, each meal is crafted from the freshest ingredients. The warm, welcoming atmosphere makes it the perfect spot for family gatherings or an intimate dinner. Experience the vibrant taste of India right here, where every bite tells a story!",,,https://ik.imagekit.io/OE/nelson-county/listings/indian-oven-image1_0QlheMSPI,Restaurant entrance with 'Indian Oven' sign on white brick exterior wall.,,,,,,,,,(434) 263-4080,"10749 Thomas Nelson Hwy, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Family Friendly; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949
15,Mac's Country Store,macs-country-store,Markets & Delis,community,Roseland,"Discover Mac's Country Store, a charming destination nestled at the intersection of Routes 151 and 56. Offering a delightful selection of breakfast, lunch, and dinner plates, our menu features the renowned fried chicken that keeps locals and travelers coming back for more. In addition to delicious meals, explore our unique collection of antiques that adds a touch of nostalgia to your visit. Stop by to experience the warmth of country hospitality and savor the flavors that make Mac's a beloved stop on your journey.",,,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image1_Gk_Ua_dFF,"White building with vending machines, parked car, and trees in the background.",,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image2_YzwsuX-Df,"White building with vending machines, parked car, and wooden porch surrounded by trees.",,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image3_SvqK4KDnb,Tie-dye background with bold white text in cursive font.,,,(434) 277-5305,"7023 Patrick Henry Highway, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Breakfast; Lunch; Dinner; Takeout; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967
16,Subway,subway,Markets & Delis,taste,Lovingston,"Nestled in the bustling Annie Land Plaza, Subway invites you to craft your own delicious meal seven days a week. Whether you're craving a hearty sandwich, a fresh salad, or a savory wrap, you'll find a multitude of customizable options to suit your taste. Enjoy the convenience of extended hours on Fridays for late-night cravings, while Sundays offer a cozy, early-closing vibe. With fresh ingredients and friendly service, Subway is the perfect spot for a quick lunch or a satisfying dinner on the go.",,,https://ik.imagekit.io/OE/nelson-county/listings/subway-image1_ASH5hYhT2,"Brick storefront with Subway and tobacco shop signs, under clear blue sky.",,https://ik.imagekit.io/OE/nelson-county/listings/subway-image2_FsH2B7eDE,"Brick building with Subway and vape shop, clear sky above.",,,,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,(434) 263-6800,"65 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Deli; Market,false,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
17,The Market at Wintergreen,the-market-at-wintergreen,Markets & Delis,community,Wintergreen Resort,"Nestled in the picturesque Sunrise Side of the Blue Ridge Mountains, The Market at Wintergreen serves as a convenient stop for both locals and visitors exploring the region. Just a short drive from Charlottesville, Staunton, Lynchburg, and Waynesboro, this charming market offers a delightful selection of groceries, fresh deli items, and essential convenience store products. Whether you're stocking up for a mountain adventure or grabbing a quick bite, you'll find friendly service and quality goods that make your visit memorable. Stop by and experience the warmth of this inviting community hub!",,,https://ik.imagekit.io/OE/nelson-county/listings/the-market-at-wintergreen-image1_mYJhz6AkM,"Customers at deli counter inside a market, browsing and buying packaged food items.",,,,,,,,,(434) 325-8224,"189 Mountain Inn Loop, Wintergreen, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,,,,,,,,,,,,,,Deli; Resort; Fuel; Market,false,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
18,Williams Grocery,williams-grocery,Markets & Delis,community,Schuyler,"Nestled in the heart of the countryside, Williams Grocery is more than just a rural grocery store and gas station; it’s a charming stop for locals and travelers alike. Here, you’ll find a delightful selection of everyday essentials alongside unique offerings such as local honey, perfect for a sweet treat or a gift. For fishing enthusiasts, the store stocks bait and fishing supplies, making it an ideal pit stop before heading to nearby lakes. With its friendly atmosphere and commitment to supporting the community, Williams Grocery invites you to experience the charm of rural shopping while ensuring you have everything you need for your adventures.",,,https://ik.imagekit.io/OE/nelson-county/listings/williams-grocery-image1_7ZxBQDA49,Gas pumps and store building surrounded by trees and hills under blue sky.,,,,,,,,,(434) 263-4746,"439 Williamstown Road, Shipman, VA 22971",josh,,,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,,,,,,,Retail; Fuel; Local Ingredients; Market; Deli; Water Sports; Fishing; Hunting,false,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971
19,Ann's Family Restaurant,anns-family-restaurant,Restaurants,taste,Arrington,"Experience the warm hospitality and delicious Southern comfort food at Ann's Family Restaurant, a beloved homestyle eatery that keeps locals coming back for more. While we take a break on Saturdays, our dedicated team serves up hearty meals made from cherished family recipes throughout the week. Whether you're craving classic fried chicken, savory collard greens, or a slice of homemade pie, you’ll find a welcoming atmosphere and flavors that feel like home. Join us for a memorable dining experience that will keep you returning for seconds!",,,https://ik.imagekit.io/OE/nelson-county/listings/ann-s-family-restaurant-image1_wg1eO0bow,Red-roofed restaurant with parked cars and campaign signs on grass.,,,,,,,,,(434) 263-8110,"1170 Thomas Nelson Highway, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922,,,,,,,,,,,,,,Family Friendly,false,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922
20,Basic Necessities,basic-necessities,Restaurants,taste,Nellysford,"Nestled in the picturesque Rockfish Valley, Basic Necessities is a charming European-inspired café, wine, and cheese shop that delights the senses. Guests can savor a menu featuring hearty soups, fresh salads, and seasonal dinners complemented by live music, creating a delightful atmosphere for a leisurely meal. Don’t miss their popular Sunday brunch, where a talented harpist fills the air with enchanting melodies. The shop also boasts an impressive selection of imported cheeses, artisan breads, and affordable wines, making it the perfect spot to indulge or pick up gourmet provisions for your own gatherings. Whether you're looking for a cozy meal or a unique shopping experience, Basic Necessities is a must-visit destination.",,,https://ik.imagekit.io/OE/nelson-county/listings/basic-necessities-image1_xjB3aTYi6,Cozy house with glowing string lights on fence at dusk.,,,,,,,,,(434) 361-1776,"2226 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Wine; Retail; Dinner; Live Music; Brunch; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
21,Blue Mountain Brewery,blue-mountain-brewery,Breweries & Cideries,taste,Afton,"Located on Route 151, Blue Mountain Brewery caters to craft beer enthusiasts and food lovers. Enjoy a variety of flagship and seasonal ales brewed on-site, paired with fresh, made-from-scratch dishes. With breathtaking views of the Blue Ridge Mountains, it’s an ideal spot to relax and savor local flavors.",,,https://ik.imagekit.io/OE/nelson-county/listings/blue-mountain-brewery-image1_tGxjiiEoX,"Pizza, beer, and grapes on a wooden table in outdoor sunlight.",,,,,,,,https://www.bluemountainbrewery.com/,(540) 456-8020,"9519 Critzers Shop Road, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Beer; Cider; Events; Family Friendly; Full Kitchen; Meeting Planners; Outdoor Seating; Scenic Views; Tastings,false,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920
22,Blue Ridge Pig,blue-ridge-pig,Restaurants,taste,Nellysford,"Blue Ridge Pig is a roadside smokehouse famous for Strawberry Goodwin's on-site smoked meats. The menu features pulled pork sandwiches, turkey croissants with signature dill sauce, and a variety of other smoked options.",,,https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-pig-image1_yZZLDI6Ia,Cartoon pig with chef hat on weathered sign against trees and sky.,,,,,,,,,(434) 361-1170,"2198 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,BBQ; Takeout; Scenic Views,false,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
23,Bold Kitchen at Bold Rock,bold-kitchen-at-bold-rock,Restaurants,taste,Nellysford,"Nestled in the heart of the scenic Bold Rock, Bold Kitchen offers a delightful dining experience that embodies the essence of local flavors. Guests can savor a diverse menu featuring fresh, seasonal dishes crafted with care, all within a welcoming atmosphere that invites relaxation and conversation. With its rustic charm and stunning views, Bold Kitchen is not just a restaurant; it’s a culinary journey that perfectly complements your visit to the beautiful surroundings. Whether you're enjoying a leisurely brunch or an intimate dinner, you’ll find a warm ambiance and a commitment to quality that makes every meal memorable.",,,https://ik.imagekit.io/OE/nelson-county/listings/bold-kitchen-at-bold-rock-image1_XleEsXz-D,"Outdoor patio with tables, umbrellas, and mountain view under a clear blue sky.",,,,,,,,,,"1020 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Bar; Cider; Tastings; Full Kitchen,false,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
24,Chen's Restaurant,chens-restaurant,Restaurants,taste,Lovingston,"Nestled in the charming town of Lovingston, Chen's Restaurant is a delightful destination for lovers of authentic Chinese cuisine. Here, you can savor a diverse menu brimming with mouthwatering dishes—from crispy fried chicken to vibrant stir-fries, alongside beloved traditional favorites. Whether you're dining in for lunch or opting for convenient takeout, you'll enjoy a warm, inviting atmosphere that makes every meal feel special. With its commitment to quality and flavor, Chen's is a must-visit for anyone craving a delicious culinary escape in the heart of Virginia.",,,https://ik.imagekit.io/OE/nelson-county/listings/chen-s-restaurant-image1_yGrDjUjGy,"Glazed fried chicken pieces with broccoli florets, arranged closely together.",,,,,,,,,(434) 263-8865,"73 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Takeout; Lunch,false,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
25,Chirio's Pizza,chirios-pizza,Restaurants,taste,Nellysford,"Chirio's Pizza, the oldest pizzeria in Nelson County since 1989, offers a delightful taste of New York with its hand-tossed pizzas, subs, salads, and ice cream. Located in Valley Green Shopping Center, guests can enjoy dining in, take advantage of convenient takeout, or opt for delivery. Join us for a slice of tradition and flavor that has satisfied locals for decades.",,,https://ik.imagekit.io/OE/nelson-county/listings/chirio-s-pizza-image1_UVtpKdV9N,Pepperoni pizza with olives and broccoli on a golden crust.,,,,,,,,,(434) 361-9188,"2777 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Family Friendly; Takeout; Delivery; Desserts; Pizza,false,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
26,Coquito Kitchen,coquito-kitchen,Restaurants,taste,Nellysford,"Nestled within the charming Rockfish Valley Community Center, Coquito Kitchen invites you to savor a delightful fusion of Argentine and Southern comfort food. Here, you can indulge in a rotating menu of mouthwatering empanadas, hearty sandwiches, and seasonal sides, crafted with fresh, local ingredients. Open for lunch from Thursday to Saturday, this unique eatery not only offers a culinary adventure but also a cozy atmosphere filled with community spirit. Whether you're a local or just passing through, Coquito Kitchen promises a memorable dining experience that celebrates the rich flavors of both cultures.",,,https://ik.imagekit.io/OE/nelson-county/listings/coquito-kitchen-image1_0G55fEaHh,"Cartoon bear and toucan with banjo, yellow circle background, 'Coquito' text.",,,,,,,,,,"190 Rockfish School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Lunch; Full Kitchen; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920
27,Devils Backbone Brewing,devils-backbone-brewing,Restaurants,taste,Roseland,"Devils Backbone Brewing’s Basecamp offers a delightful culinary experience with a wood-fired kitchen that serves up delicious dishes, complemented by 16 taps featuring their signature house brews. Start your day with freshly brewed coffee, and enjoy a vibrant atmosphere perfect for concerts and events in the scenic meadow seating. Whether you're savoring a meal or relaxing with friends, Devils Backbone is the ideal destination for craft beer enthusiasts and food lovers alike.",,,https://ik.imagekit.io/OE/nelson-county/listings/devils-backbone-brewing-image1_fuU0b-q4C,"Rustic building with stone pillars, wooden roof, and red umbrella-covered tables outside.",,,,,,,,https://www.dbbrewingcompany.com/visit/basecamp/,(434) 361-1001,"200 Mosbys Run, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Beer; Outdoor Seating; Live Music; Full Kitchen; Coffee; Tea; Biking; Hiking,false,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967
