id,name,slug,type,category,area,description,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,amenities,featured,googleMapsUrl,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content
138,Fitzgerald Farms,fitzgerald-farms,Farms & Orchards,experience,Arrington,"Fitzgerald Farms roadside stand offering summer sweet corn, fall pumpkin picking, and wholesale produce from the Rockfish Valley. Pick-Your-Own Pumpkins during the fall season and sweet corn during the summer. Also offering quality wholesale pumpkins, corn, soybeans and sod.",,https://ik.imagekit.io/OE/nelson-county/listings/fitzgerald-farms-image1_XtoAg2MWJ,"Child sitting among numerous bright orange pumpkins, wearing pink overalls.",,,,,,,,,(434) 277-8047,"4850 Tye Brook Highway, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=4850%20Tye%20Brook%20Highway%2C%20Arrington%2C%20VA%2022922,Farm; Desserts; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=4850%20Tye%20Brook%20Highway%2C%20Arrington%2C%20VA%2022922,,,,,,,,
139,Fitzgerald's Orchard,fitzgeralds-orchard,Farms & Orchards,experience,Tyro,"Family orchard near Tyro selling bushels of classic Virginia apples including Fuji, Rome, and Pink Lady each harvest season. Red and Golden Delicious, Gala, Rome, Granny Smith, Fuji and Pink Lady's apples available in season.",,https://ik.imagekit.io/OE/nelson-county/listings/fitzgerald-s-orchard-image1_NO_6fucxa,Red and yellow apples on leafy tree branch under blue sky.,,,,,,,,,(434) 277-5798,"728 Harpers Creek Lane, Tyro, VA 22976",josh,,,https://www.google.com/maps/dir/?api=1&destination=728%20Harpers%20Creek%20Lane%2C%20Tyro%2C%20VA%2022976,Seasonal Menu; Farm; Scenic Views; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=728%20Harpers%20Creek%20Lane%2C%20Tyro%2C%20VA%2022976,,,,,,,,
141,Hungry Hill Farm,hungry-hill-farm,Farms & Orchards,experience,Shipman,"Honey-centric Hungry Hill Farm offering raw honey, bee supplies, mushroom workshops, and farm tours by appointment. Our farm is open year around for visitors and groups. Come learn about beekeeping or growing your own mushrooms.",,https://ik.imagekit.io/OE/nelson-county/listings/hungry-hill-farm-image1_N-4ZiI8f5,"Bee sipping liquid from glass rim, close-up, detailed, blurred background.",,,,,,,,,(434) 263-5336,"89 Williamstown Road, Shipman, VA 22971",josh,,,https://www.google.com/maps/dir/?api=1&destination=89%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,Farm; Retail,false,https://www.google.com/maps/dir/?api=1&destination=89%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,
143,Lost Point Farm,lost-point-farm,Farms & Orchards,community,Arrington,Small herb and produce farm perched over the Tye River supplying chemical-free harvests to the Arrington community by appointment. All herbs and produce are grown without the use of synthetic fertilizers or pesticides for our friends and neighbors in Arrington and the close surrounding area.,,https://ik.imagekit.io/OE/nelson-county/listings/lost-point-farm-image1_ysMce9Xxm,White flowers in front of wooden cabin surrounded by lush greenery.,,,,,,,,,(434) 263-7015,"Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=Arrington%2C%20VA%2022922,Order Pickup; Scenic Views; Farm; Local Ingredients; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=Arrington%2C%20VA%2022922,,,,,,,,
145,Pharsalia,pharsalia,Farms & Orchards,experience,Tyro,"Historic 1814 Pharsalia estate hosting weddings, group tours, and floral workshops amid working orchards at the foot of de Priest Mountain. Built in 1814 at the foot of de Priest Mountain in Nelson County, Virginia, by William Massie, Pharsalia commands stunning views and is surrounded by original outbuildings and lovely gardens. Pharsalia is rich in history with a picturesque setting like no other and is on the National Register of Historic Place and the Virginia Landmarks Register.",,https://ik.imagekit.io/OE/nelson-county/listings/pharsalia-image1_cVhWdTBSo,"White house surrounded by colorful trees, with mountains in the background.",,,,,,,,,(434) 277-5231,"2333 Pharsalia Road, Tyro, VA 22976",josh,,,https://www.google.com/maps/dir/?api=1&destination=2333%20Pharsalia%20Road%2C%20Tyro%2C%20VA%2022976,Events; Farm; Scenic Views; Retail; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=2333%20Pharsalia%20Road%2C%20Tyro%2C%20VA%2022976,,,,,,,,
146,Robinia Institute,robinia-institute,Farms & Orchards,experience,Wingina,"Robinia Institute at Timshel Wildland offers regenerative agriculture education, grazing intensives, and consulting on a 400-acre conservation site. FROM THE SOUL TO THE SOIL Reawakening the Wild Founded in 2017 as the educational and consulting center of Timshel Wildland, a 400-acre process-led & emergent conservation landscape in Virginia, Robinia's mission is to advocate, educate, and demonstrate the abundance, joy, and regenerative power of holistically managed and wild living systems.",,https://ik.imagekit.io/OE/nelson-county/listings/robinia-institute-image1_neYzCA4xW,Person in hat tending plants in a lush green field.,,,,,,,,,(330) 310-1475,"530 James River Road, Wingina, VA 24599",josh,,,https://www.google.com/maps/dir/?api=1&destination=530%20James%20River%20Road%2C%20Wingina%2C%20VA%2024599,Educational; Retail; Farm; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=530%20James%20River%20Road%2C%20Wingina%2C%20VA%2024599,,,,,,,,
147,Rose Isle Farm,rose-isle-farm,Farms & Orchards,experience,Roseland,"Rose Isle Farm partners with Blue Mountain Barrel House to raise 'beer-fed' beef on pasture, offering direct sales by appointment. At the foot of the Blue Ridge Mountains in Roseland, Virginia, Massie and Joyce Saunders of Rose Isle Farm raise beef with a difference – Beer Beef. The cattle at Rose Isle Farm are fed spent mash from Blue Mountain Barrel House Brewery, a perfect marriage of recycling and animal husbandry for Rose Isle Farm and this local Nelson County brewery.",,https://ik.imagekit.io/OE/nelson-county/listings/rose-isle-farm-image1_t283CgSR-,"Farm with silo, red roofs, green fields, and hazy mountains in the background.",,,,,,,,,(434) 277-8574,"329 Crabtree Falls Highway, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=329%20Crabtree%20Falls%20Highway%2C%20Roseland%2C%20VA%2022967,Beer; Farm; Local Ingredients; Tastings,false,https://www.google.com/maps/dir/?api=1&destination=329%20Crabtree%20Falls%20Highway%2C%20Roseland%2C%20VA%2022967,,,,,,,,
148,Seamans' Orchard,seamans-orchard,Farms & Orchards,experience,Roseland,"Fourth-generation Seamans' Orchard with pick-your-own strawberries, blueberries, cherries, and weekend fall apple events in Roseland. Nestled at the foot of the Blue Ridge Mountains, Seamans' Orchard is a fourth generation farm. The farm grows the finest apples, blueberries, cherries, and strawberries mother nature will allow.",,https://ik.imagekit.io/OE/nelson-county/listings/seamans-orchard-image1__NNqdOH0h,"Cherries, blueberries, strawberries in clear containers on a wooden table.",,,,,,,,,(434) 277-8130,"415 Dark Hollow Road, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=415%20Dark%20Hollow%20Road%2C%20Roseland%2C%20VA%2022967,Farm; Market; Scenic Views; Family Friendly,false,https://www.google.com/maps/dir/?api=1&destination=415%20Dark%20Hollow%20Road%2C%20Roseland%2C%20VA%2022967,,,,,,,,
149,Silver Creek and Seamans' Orchards,silver-creek-and-seamans-orchards,Farms & Orchards,experience,Roseland,"Silver Creek & Seamans' Orchards packing shed selling heirloom apple varieties plus cider, apple butter, honey, and pumpkins. The packing shed offers Empire, Gala, Jonathan, Red and Golden Delicious, York, Winesap, Red Rome, Stayman, Pippin, Jonagold and Pink Lady apples. Also apple butter, cider, honey, jellies, and pumpkins.",,https://ik.imagekit.io/OE/nelson-county/listings/silver-creek-and-seamans-orchards-image1_pv2iDWEdx,Crates of colorful apples displayed inside a rustic market setting.,,,,,,,,,(434) 277-5824,"5529 Crabtree Falls Highway, Tyro, VA 22976",josh,,,https://www.google.com/maps/dir/?api=1&destination=5529%20Crabtree%20Falls%20Highway%2C%20Tyro%2C%20VA%2022976,Cider; Local Ingredients; Events; Farm; Tastings,false,https://www.google.com/maps/dir/?api=1&destination=5529%20Crabtree%20Falls%20Highway%2C%20Tyro%2C%20VA%2022976,,,,,,,,
150,Silver Creek Orchards,silver-creek-orchards,Farms & Orchards,experience,Tyro,"Seventh-generation Silver Creek Orchards opens for pick-your-own apples on select weekends with more than 20 varieties and scenic mountain views. Silver Creek Orchards is a seventh generation family owned farm that offers over 20 varieties of apples, as well as wine grapes and beef cattle. Open for Pick-your-own on second weekend in September and second weekend in October.",,https://ik.imagekit.io/OE/nelson-county/listings/silver-creek-orchards-image1_jTNIexbgs,"Crates filled with red apples in sunlight, stacked outdoors.",,,,,,,,,(434) 277-5865,"3679 Pharsalia Road, Tyro, VA 22976",josh,,,https://www.google.com/maps/dir/?api=1&destination=3679%20Pharsalia%20Road%2C%20Tyro%2C%20VA%2022976,Farm; Family Friendly; Scenic Views; Events,false,https://www.google.com/maps/dir/?api=1&destination=3679%20Pharsalia%20Road%2C%20Tyro%2C%20VA%2022976,,,,,,,,
151,Silver Fox Lavender Farm,silver-fox-lavender-farm,Farms & Orchards,experience,Nellysford,"Silver Fox Lavender Farm hosts June lavender festival weekends, farm workshops, yoga, and a barn venue for micro weddings and events. Selling lavender products, as well as home & garden, handmade wooden farm tables, mantles, and benches. Our annual Lavender Festival will be held in June when our lavender field is in full bloom!",,https://ik.imagekit.io/OE/nelson-county/listings/silver-fox-lavender-farm-image1_OhRtsVHYZ,Barn and field under cloudy sky with mountain in background.,,,,,,,,,(540) 903-2750,"877 Glenthorne Loop, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=877%20Glenthorne%20Loop%2C%20Nellysford%2C%20VA%2022958,Events; Farm; Retail,false,https://www.google.com/maps/dir/?api=1&destination=877%20Glenthorne%20Loop%2C%20Nellysford%2C%20VA%2022958,,,,,,,,
152,The Apple Shed,the-apple-shed,Farms & Orchards,experience,Lovingston,"Roadside Apple Shed market south of Lovingston selling apples, pumpkins, fruit butters, oysters, and holiday trees plus small chapel weddings. Get fresh, local apples and pumpkins. Fuji, old-fashioned Winesap, Stamens and many others. Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. The original 30 acres was donated by Mr.",,https://ik.imagekit.io/OE/nelson-county/listings/the-apple-shed-image1_qF6IcNkNQ,"Red sign with white apple design, text reads 'The Apple Shed.'",,,,,,,,,(434) 263-8843,"14815 Thomas Nelson Highway, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=14815%20Thomas%20Nelson%20Highway%2C%20Lovingston%2C%20VA%2022949,Market; Seasonal Menu; Local Ingredients; Farm,false,https://www.google.com/maps/dir/?api=1&destination=14815%20Thomas%20Nelson%20Highway%2C%20Lovingston%2C%20VA%2022949,Menu & Offerings,"Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. Lovingston was defined as a “courthouse town” after the Nelson County Courthouse was built. One claim to fame is that that town jail was designed by Thomas Jefferson. Lovingston’s most historic African-American landmark is Bright Hope Baptist Church, which was built in 1870 for the freedmen and women living in Nelson. Present-day.",Experience,"Lovingstown, Virginia, as it was first named, began with a land grant and a need to build a courthouse and a county seat for the newly created Nelson County in 1809. The original 30 acres was donated by Mr. James Loving that same year and thus began the construction of this charming historic village. There were 49 lots parceled off in nearly equal measure and then sold. The lots were numbered for identification and were thereby known as those lot numbers.",Contact & Location,"Bright Hope Baptist Church, a historic African-American landmark in Lovingston that overlooks the village. The church was built along with a school in 1870 to serve the freed men and women of Nelson. The kept area has over 100 marked graves. Dinner Options in Lovingston include Vito’s Pizza & Italian Grill for classic and specialty pizzas and Italian entrees. El Mariachi Mexican Restaurant offers over one hundred menu choices and has a gift shop on-site.",Information,"Than a meal, head to Wood Ridge Farm Brewery, where a food truck is usually available. It’s a family-friendly place with plenty of outdoor activities. Want to know something interesting. The brewery and the bar were built out of wood from the property. If you’re lucky enough to have stopped by on the weekend, Visitors can enjoy live music there as well. S Outback Brew House is further south on Route 29 and also has wood fired pizza and live music."
153,Tinkerland Farm,tinkerland-farm,Farms & Orchards,experience,Roseland,"Chestnut-focused Tinkerland Farm sells pre-picked and pick-your-own chestnuts along Route 151 each October in Roseland. Tinkerland Farm is a family farm located across the road from Bryant Ln on Rt 151 in Nelson County, Virginia. It is named after the late Tinker Bryant(Frank George Jr.) who lived on Bryant Ln and worked as the rural letter carrier out of Roseland postoffice for many years.",,https://ik.imagekit.io/OE/nelson-county/listings/tinkerland-farm-image1_GJCn3JIgk,Roasted chestnuts with golden interior on blue background.,,,,,,,,,(434) 277-3600,"Bryant Lane & Route 151, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=Bryant%20Lane%20%26%20Route%20151%2C%20Roseland%2C%20VA%2022967,Farm; Seasonal Menu; Family Friendly; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=Bryant%20Lane%20%26%20Route%20151%2C%20Roseland%2C%20VA%2022967,,,,,,,,
154,Turnip the Beets Farm,turnip-the-beets-farm,Farms & Orchards,community,Gladstone,"Turnip the Beets Farm grows chemical-free flowers and produce, offering CSA deliveries, farmers market booths, and event florals. Our small farm business is owned and operated by Shane and Beverly Spanninger. A couple of love birds that decided to turn their dreams of sustainable farming and living into their reality.",,https://ik.imagekit.io/OE/nelson-county/listings/turnip-the-beets-farm-image1_V-DMMdF30q,Assorted colorful tomatoes in blue cartons at a market.,,,,,,,,,(434) 944-9467,"110 Boltons Place, Gladstone, VA 24553",josh,,,https://www.google.com/maps/dir/?api=1&destination=110%20Boltons%20Place%2C%20Gladstone%2C%20VA%2024553,Market; Events; Farm; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=110%20Boltons%20Place%2C%20Gladstone%2C%20VA%2024553,,,,,,,,
155,Virginia Chestnuts,virginia-chestnuts,Farms & Orchards,experience,Shipman,"Virginia Chestnuts orchard in Shipman producing locally grown nuts and value-added chestnut products for seasonal pickup. We're providers of quality, Virginia-grown chestnuts, located in beautiful Nelson County. Our orchard is maturing and so is our production.",,https://ik.imagekit.io/OE/nelson-county/listings/virginia-chestnuts-image1_ZMRjy4HK4,"Young trees in a grassy field, mountains in the background under blue sky.",,,,,,,,,(434) 277-3600,"5990 Wheeler Cove Road, Shipman, VA 22971",josh,,,https://www.google.com/maps/dir/?api=1&destination=5990%20Wheeler%20Cove%20Road%2C%20Shipman%2C%20VA%2022971,Farm; Seasonal Menu; Family Friendly; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=5990%20Wheeler%20Cove%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,
171,Mars Knob Farm,marsknob,Farms & Orchards,experience,Roseland,"Mars Knob Farm produces small-batch, chemical-free pantry goods and apothecary items from a historic Roseland homestead. It was built in the 1800s and sits on 200+ acres in Roseland, VA.",,https://ik.imagekit.io/OE/nelson-county/listings/mars-knob-farm-image1_-aoc7JgX_,"Floral emblem with text 'MARS KNOB FARM, NATURE & BEAUTY' on beige background.",,,,,,,,,,"Roseland, VA 22967",WG,,,https://www.google.com/maps/dir/?api=1&destination=Roseland%2C%20VA%2022967,Farm; Family Friendly; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=Roseland%2C%20VA%2022967,,,,,,,,
271,Eventide Farm,eventidefarm,Farms & Orchards,experience,Afton,"Eventide Farm operates a farm stand in Afton offering seasonal flowers, produce, baked goods, eggs, herbs, soaps, and candles. Small farm and Farm Stand in Nelson County Virginia. Flowers, produce, plants, baked goods, farm fresh eggs, herbs, soap, candles. There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/eventide-farm-image1_UJELFrlDR,Family at pumpkin stand with holiday candles under white tent.,,,,,,,,,(540) 705-3244,"11254 Rockfish Valley Highway, Afton, VA 22920",WG,,,https://www.google.com/maps/dir/?api=1&destination=11254%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Farm; Market; Seasonal Menu; Bakery; Baked Goods; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=11254%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Events & Activities,There’s something to do in Afton every season of the year.,Events & Activities,"And live music. Nelson 151’s wineries often include food pairing. If you’d like to do a little shopping, check out the Nelson 151 gift shops or take a short drive to the Rockfish Valley Community Center, a repurposed school building featuring local shops. Purchase a piece of Nelsonite, Virginia’s state rock, at The Virginia Rock Shop. If you’re into local art, check out the Rockfish Pottery Collective or the Rockfish River Gallery.",Events & Activities,"Live music performances, good food, and inventive, hand-crafted beverages. If you’re planning on spending a hot summer day in Afton, check out the Nelson Farmer’s Market Cooperative one Saturday. Local vendors gather there to sell fresh produce and hand-crafted goodies. Often, there’s live music. Nelson’s wineries make for an excellent day trip as well.",Events & Activities,"And enjoy great food at Blue Mountain. If your taste runs a bit sweeter, try a cider or two at Bryant’s Small Batch, Blue Toad Hard Cider, or Bold Rock Hard Cider. Like the hard stuff better. Head over to Silverback Distillery or Devils Backbone Distillery for a mixed drink and bring home a bottle of bourbon, vodka, whiskey, or gin. If you’re in Nelson celebrating Halloween, you’re in luck."
273,Deep Sea Pete's Creekside Farm,deep-sea-petes-creekside-farm,Farms & Orchards,experience,Roseland,"Deep Sea Pete's Creekside Farm cultivates culinary mushrooms on logs and raised beds, supplying fresh harvests from Lovingston's Perry Lane. Schedule a farm visit with Deep Sea Pete to see how log inoculation, shade houses, and raised beds turn oak bolts into fresh culinary mushrooms. Orders can be picked up right on Perry Lane, making it easy to take chef-ready harvests back to your Nelson County kitchen.",,https://ik.imagekit.io/OE/nelson-county/listings/deep-sea-pete-s-creekside-farm-image1_jdX269gOR,"Basket of mushrooms on wooden slats, stream in background.",,https://ik.imagekit.io/OE/nelson-county/listings/deep-sea-pete-s-creekside-farm-image2_L7RgwL-GO,Assorted mushrooms with herbs on woven basket and wooden surface.,,,,,,(757) 560-8996,"1219 Perry Lane, Lovingston, VA 22949",WG,,,https://www.google.com/maps/dir/?api=1&destination=1219%20Perry%20Lane%2C%20Lovingston%2C%20VA%2022949,Farm; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=1219%20Perry%20Lane%2C%20Lovingston%2C%20VA%2022949,,,,,,,,
276,Gathered Threads,gathered,Farms & Orchards,experience,Roseland,"Gathered Threads is a six-acre family farm growing sustainably raised flowers and botanicals without pesticides, supplying markets and workshops in Nelson County. Gathered Threads is a small family farm-based business located on 6 acres in Nelson County, Virginia. Though not yet certified organic, we are personally dedicated to growing all plants sustainably without the use of any pesticides, insecticides, or chemical fertilizers.",,https://ik.imagekit.io/OE/nelson-county/listings/gathered-threads-image1_FeSRjOoNK,Vegetable garden with rows of greenery and two greenhouses in the background.,,,,,,,,,,"1127 Jennys Creek Road, Roseland, VA 22967",WG,,,https://www.google.com/maps/dir/?api=1&destination=1127%20Jennys%20Creek%20Road%2C%20Roseland%2C%20VA%2022967,Market; Retail; Farm; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=1127%20Jennys%20Creek%20Road%2C%20Roseland%2C%20VA%2022967,,,,,,,,
283,Galleywinter Farm,galleywinter,Farms & Orchards,experience,Afton,"Galleywinter Farm in Afton hosts health retreats, equine therapy, horsemanship lessons, yoga, and creative residencies on a pastoral horse farm. Nutrition, fitness, stress management, communication and relationship-building, body-wise approaches to alignment, sovereignty and empowerment; horse-wise sessions to become more aware of your persona.",,https://ik.imagekit.io/OE/nelson-county/listings/galleywinter-farm-image1_RGBNG08oV,"Farm sign on rustic wooden post, surrounded by pink flowers and greenery.",,https://ik.imagekit.io/OE/nelson-county/listings/galleywinter-farm-image2_r9qXWOU9ke,"Bathtub with rose petals in forest, surrounded by green trees.",,https://ik.imagekit.io/OE/nelson-county/listings/galleywinter-farm-image3_CyJ4_PP99,"Wooden room with bed, rocking chairs, table, and natural light through large windows.",,,,"Afton, VA 22920",WG,,,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Farm; Equestrian; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Events & Activities,"Galleywinter Farm is a sanctuary for healing, horsemanship and creative process. At the base of the Blue Ridge Mountains in Afton, Virginia, this working horse farm provides private and pastoral surroundings so conducive to the health and nutrition counseling, lessons in horsemanship, equine therapy, and nature therapy that take place here. we're so pleased to provide beautiful workspaces, healthy meals and sleeping accommodations for your Restorative Stay, your Creative or Educational Retreats.",About,"Nutrition, fitness, stress management, communication and relationship-building, body-wise approaches to alignment, sovereignty and empowerment; horse-wise sessions to become more aware of your personal space, your influence within and around you, emotional states and co-regulating.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Gail Todter, Ph. D, gail@leadingforth. Com Staff on Site. No Pet-Friendly. No Find us at Afton."
383,Queen Oaks Farm,queenoaksfarm,Farms & Orchards,experience,Schuyler,"Queen Oaks Farm (L&B Farms) in Schuyler offers sourdough baked goods and handmade Nigerian Dwarf goat milk soaps from a small homestead. Thanks for visiting us here at L&B Farms. My name is Lauren Shifflett, and my husband and I manage our small farm here in Schuyler, Virginia. S during the Great Depression. Those who travel to Schuyler are encouraged to visit The Walton’s Mountain Museum. Schuyler’s forests bloom in the springtime; the rural roadways make for a gorgeous spring drive.",,https://ik.imagekit.io/OE/nelson-county/listings/queen-oaks-farm-image1_fuxgxACcR,"Pumpkin-shaped bread with a cinnamon stick stem, held in hand.",,,,,,,,,,"Schuyler, VA 22969",WG,,,https://www.google.com/maps/dir/?api=1&destination=Schuyler%2C%20VA%2022969,Bakery; Baked Goods; Farm; Local Ingredients; Market,false,https://www.google.com/maps/dir/?api=1&destination=Schuyler%2C%20VA%2022969,Information,S during the Great Depression. Those who travel to Schuyler are encouraged to visit The Walton’s Mountain Museum.,Menu & Offerings,"Schuyler’s forests bloom in the springtime; the rural roadways make for a gorgeous spring drive. If you’re traveling through Schuyler or want to plan a full day, start with The Walton’s Mountain Museum. The museum itself is in Hamner’s boyhood school. Displays include replicas of “The Walton’s” sets, hundreds of memorabilia items, and photographs. Next, check out Walton Hamner House, located across from the museum. Join the guided tour inside John-Boy Walton’s childhood home. The house has been.",About,"The history of Nelson County, check out The Walton’s Mountain Museum to learn more about the hit show,“The Waltons.” Another option for a history lesson stands in Arrington off Route 29. At the Oakland Museum, Visitors can view an exhibit on The Rural Electrification Act, part of Roosevelt’s New Deal. Traveling teachers and students will enjoy the exhibit depicting the history of the area schools.",Experience,"Every fall, visitors travel to Nelson County to take in the sight of the Blue Ridge Mountains. The gorgeous autumn colors reach their peak mid- to late October each year. Fall’s crisp mornings, pleasant daytime temperatures, and nearly-chilly nights make Nelson a perfect outdoor destination, but there are plenty of cozy indoor amenities as well. A fall day trip to the Schuyler area proves rewarding to the amateur geologist."
384,Three Trees Farm,threetreesfarm,Farms & Orchards,experience,Nelson 29,"Three Trees Farm cultivates organic vegetables and pasture-raised meats on Walkers Mountain, practicing regenerative agriculture and partnering with neighboring farms, orchards, and restaurants to deliver fresh, seasonal products to Nelson County markets. Our story is deeply rooted in our love for nature and sustainable farming practices. We are dedicated to providing the freshest and highest quality produce and meats to our customers. The county is conveniently located between Lynchburg and Charlottesville, so every year thousands of people pass through Nelson to rest. Luckily, there are plenty of things for visitors to do along Route 29 in Nelson.",,https://ik.imagekit.io/OE/nelson-county/listings/three-trees-farm-image1_fJWvUI8kJ,Silhouette of three trees and mountains on orange circular background.,,https://ik.imagekit.io/OE/nelson-county/listings/three-trees-farm-image2_O2cJxikgn,People sorting vegetables on tables against red wooden barn.,,,,,,(571) 268-0478,"Walkers Mountain, Arrington, VA",WG,,,https://www.google.com/maps/dir/?api=1&destination=Walkers%20Mountain%2C%20Arrington%2C%20VA,Organic; Scenic Views; Local Ingredients; Farm,false,https://www.google.com/maps/dir/?api=1&destination=Walkers%20Mountain%2C%20Arrington%2C%20VA,Experience,"The county is conveniently located between Lynchburg and Charlottesville, so every year thousands of people pass through Nelson to rest. Luckily, there are plenty of things for visitors to do along Route 29 in Nelson. The county’s newest craft beverage trail, Nelson 29 stretches 20 miles between Blue Mountain Barrel House in Arrington and Mountain and Vine Winery in Faber.",Menu & Offerings,"Nelson county is a patchwork of bright green and pastel flowers in the springtime. Driving through the county along Route 29 is beautiful any time of the year, but the pops of color along the highway make spring a special time to stop and stretch your legs in Nelson County. In fact, if you travel up 29 North, you could stop at the SPCA and adopt a friend on your way out of Nelson. Make an appointment and stop by the Nelson Heritage Center and explore the African-American history exhibit.",About,"The history of Nelson County, stop in at the Oakland Museum, home to the Hurricane Camille Resource Center. In 1969, more than 27 inches of rain fell in 6 hours and caused devastating flooding within the county. To further experience the history of Hurricane Camille, ask for the Points of Interest Map at the museum or at the Nelson County Visitors Center. The Oakland Museum also features exhibits on the New Deal Rural Electrification Project and an 18th century tavern room.",Events & Activities,"Every fall, and offers baked goods, honey, apple butter, hams, flowers, and of course- orchard fruits and fresh vegetables."
105,Fishing the Tye River,fishing-the-tye-river,Fishing,outdoor,Tyro,"Tye River fishery stocked with trout and home to smallmouth bass, offering roadside access along Route 56 and scenic Blue Ridge runs. Fishing the Tye River rewards anglers with smallmouth bass, bluegill, and stocked trout (October–May) along the 35-mile tributary fed by the Piney and Buffalo rivers—bring waders for fly fishing runs and check DWR trout schedules. Midway Concrete Ramp (In James River WMA off Rt.",,https://ik.imagekit.io/OE/nelson-county/listings/fishing-the-tye-river-image1_abPBDA5QU,"Person holding brown trout over water surface, visible scales and spots.",,,,,,,,,(434) 263-7015,"Route 56 River Access, Tyro, VA 22976",josh,,,https://www.google.com/maps/dir/?api=1&destination=Route%2056%20River%20Access%2C%20Tyro%2C%20VA%2022976,Scenic Views; Water Sports; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=Route%2056%20River%20Access%2C%20Tyro%2C%20VA%2022976,James River - Nelson County Access Points,"Midway Concrete Ramp (In James River WMA off Rt. 743; Northeast of Wingina) Wingina Concrete Ramp (Rt. 56, South of Wingina) James River State Park Boat Ramp and also a Canoe/Livery Landing BENT CREEK TO WINGINA: Distance: 12. 4 miles 800-933-PARK Camping, Cabins, Boat Access, Hiking Trails, Fishing The concrete ramp at Bent Creek is best suited for canoes or small boats and is located just upstream from the Route 60 bridge.",Other Ponds & Lakes,Visit www. Dwr. Virginia. Gov for fishing rules and regulations for access and fishing in these ponds and lake areas. Permission may need to be obtained from private property owners in advance. Baldwin Pond (Waynesboro East) Davis Pond (Shipman area) Fish Pond (Lake) (Howardsville area) Hamilton Lake (Lovingston area) Ramsay Knox Pond (Howardsville area) Saunders Pond (Arrington area) Stevens Lake (Arrington area) The Montebello Fish Hatchery is a few minutes west of Crabtree Falls (off Rt.,Virginia Fishing Licenses & Access Permits,"License Fees, Information and Requirements The quickest and easiest way to obtain a fishing or hunting license or access permit is to PURCHASE IT ONLINE. Just select the license(s) you want, pay with your VISA™ or Master Card™, and you’re on your way. You print your licenses after you pay, so there’s no waiting.",Experience,"Options include the Tye River, the James River and the Rockfish River (Virginia Fish and Wildlife Licensing required). Visit the Department of Wildlife Resources for fishing rules & regulations."
